dataset,context,embedding,method,setting_group,n_pert_genes,target_dim,pearson_r,pearson_r_std,mse,mse_std,sign_acc,sign_acc_std,n_folds
adamson,dataset::all,minus,frozen_linear,frozen_probe,75,256,0.12908657444020114,0.05825696754099621,1.3426822066307067,0.39307910213148867,0.5477083333333334,0.019778915848771325,5
adamson,dataset::all,minus,frozen_mlp,frozen_probe,75,256,0.12912094101309776,0.0866611596738397,1.2629313588142395,0.3482224116101074,0.5491666666666667,0.03699618153156711,5
adamson,dataset::all,minus,frozen_backbone_trainable_head,finetune,75,256,0.17692806184291837,0.0607154875265739,1.0951593518257141,0.40598285907786286,0.57203125,0.022760833806246116,5
adamson,dataset::all,baseline,frozen_linear,frozen_probe,75,256,0.10963733240962029,0.04427771546439569,1.4094029903411864,0.41516757083305444,0.54859375,0.019893924428494927,5
adamson,dataset::all,baseline,frozen_mlp,frozen_probe,75,256,0.10033166731397311,0.04239332963874853,1.3214071154594422,0.4816291527563488,0.5522395833333332,0.017805036204290935,5
adamson,dataset::all,baseline,frozen_backbone_trainable_head,finetune,75,256,0.1712264534085989,0.047857869328767316,1.164447057247162,0.40102742970118427,0.5775520833333333,0.01877559017603265,5
adamson,dataset::all,scGPT_human,frozen_linear,frozen_probe,75,256,0.1703249851365884,0.04832387638187293,1.1517045617103576,0.5120439870835224,0.5592708333333334,0.016469866739493258,5
adamson,dataset::all,scGPT_human,frozen_mlp,frozen_probe,75,256,0.04978101506829261,0.048921513186756596,1.3888421297073363,0.6136269185300518,0.5171354166666667,0.021293995510276286,5
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,finetune,75,256,0.16584815979003906,0.05191777264046704,1.1422250628471375,0.5280636241568798,0.5633333333333334,0.01964404927388952,5
dixit,dataset::all,minus,frozen_linear,frozen_probe,19,256,0.3690509388321324,0.8947068783193992,0.9051917700194999,1.0149659172544963,0.6870888157894737,0.45977547608707625,19
dixit,dataset::all,baseline,frozen_linear,frozen_probe,19,256,0.4898338278657512,0.802450961174774,0.9618541904185948,1.1554789197204176,0.7514391447368421,0.41148498456689986,19
dixit,dataset::all,scGPT_human,frozen_linear,frozen_probe,19,256,0.3573975500307585,0.9124543692207138,0.9146131551579425,0.8807307940413059,0.6840049342105263,0.4646906445960343,19
norman,dataset::all,minus,frozen_linear,frozen_probe,100,256,0.046379266101866955,0.039396364022719406,1.780828094482422,0.32672395975951635,0.5194531249999998,0.020729125772049297,5
norman,dataset::all,minus,frozen_mlp,frozen_probe,100,256,0.008205474885180591,0.03932080877736863,1.5435288190841674,0.4291778827347415,0.50265625,0.020287168700121438,5
norman,dataset::all,minus,frozen_backbone_trainable_head,finetune,100,256,0.029853818896226587,0.0490190472215362,1.310379433631897,0.3824716258753705,0.512578125,0.022412005122987362,5
norman,dataset::all,baseline,frozen_linear,frozen_probe,100,256,0.0989112563058734,0.07923752468791785,1.598634386062622,0.3759541128340626,0.53515625,0.03347385034958725,5
norman,dataset::all,baseline,frozen_mlp,frozen_probe,100,256,0.09609101423062383,0.04856316724789373,1.4309160470962525,0.38625870773677956,0.5377734375,0.023262563284942146,5
norman,dataset::all,baseline,frozen_backbone_trainable_head,finetune,100,256,0.12294658806174992,0.09336204007894698,1.2052163243293763,0.3803943999307758,0.5434375,0.04244650671865927,5
norman,dataset::all,scGPT_human,frozen_linear,frozen_probe,100,256,0.09751179912127554,0.06381336111162321,1.2647858023643495,0.46084172290289604,0.538984375,0.023056340746805685,5
norman,dataset::all,scGPT_human,frozen_mlp,frozen_probe,100,256,0.053111576847732066,0.06421280616553537,1.436004114151001,0.4711118920290655,0.52234375,0.02749583819715381,5
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,finetune,100,256,0.07216220908798278,0.0466358119255326,1.1816796779632568,0.4458466435445676,0.524375,0.01938122064956662,5
