gene,mse,mae,dataset,embedding,model,split_mode,prompt_ratio,seed
PDCD6-AHRR,0.16962085664272308,0.26370781660079956,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP5-876B10.6,0.0036961117293685675,0.044400639832019806,test_data,minus,ridge_pair,cell_holdout,0.05,0
MIR7162,0.0035882764495909214,0.04246525838971138,test_data,minus,ridge_pair,cell_holdout,0.05,0
MIR3606,0.0021780177485197783,0.03576959669589996,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-463I20.4,0.0027643081266433,0.03915637359023094,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-675P14.2,0.005937263369560242,0.05028828606009483,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP5-1136A10.1,0.0030022049322724342,0.042398422956466675,test_data,minus,ridge_pair,cell_holdout,0.05,0
ENSG00000277916.1,0.13934072852134705,0.19771403074264526,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-536L3.4,0.005691287573426962,0.048397790640592575,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-1114A5.6,0.014154680073261261,0.06782469153404236,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-640I15.2,0.030423380434513092,0.10445469617843628,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-162A12.3,0.08784188330173492,0.17139893770217896,test_data,minus,ridge_pair,cell_holdout,0.05,0
AKR1B10P2,0.19805513322353363,0.31081509590148926,test_data,minus,ridge_pair,cell_holdout,0.05,0
ENSG00000252050.1,0.016203729435801506,0.07118913531303406,test_data,minus,ridge_pair,cell_holdout,0.05,0
ENSG00000252045.1,0.02077186107635498,0.05906738340854645,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-848G14.5,0.33094650506973267,0.42865851521492004,test_data,minus,ridge_pair,cell_holdout,0.05,0
RN7SL293P,0.00411883182823658,0.05081309378147125,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-485M7.1,0.0036918194964528084,0.04544701427221298,test_data,minus,ridge_pair,cell_holdout,0.05,0
BZW1P1,0.005745260510593653,0.04681890457868576,test_data,minus,ridge_pair,cell_holdout,0.05,0
MTND2P19,0.13080638647079468,0.2293347716331482,test_data,minus,ridge_pair,cell_holdout,0.05,0
HIGD1AP11,0.003132609184831381,0.042131129652261734,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-72H11.1,0.014300494454801083,0.06889056414365768,test_data,minus,ridge_pair,cell_holdout,0.05,0
SNORD57,0.006180556025356054,0.05489809438586235,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP4-630C24.1,0.0034894978161901236,0.045951053500175476,test_data,minus,ridge_pair,cell_holdout,0.05,0
RP11-274B18.3,0.06190446764230728,0.0864826962351799,test_data,minus,ridge_pair,cell_holdout,0.05,0
RNA5SP163,0.0025609612930566072,0.0398709699511528,test_data,minus,ridge_pair,cell_holdout,0.05,0
