dataset,adata_path,embedding,embedding_path,embedding_key,gene_list_path,model,split_mode,prompt_ratio,seed,device,target_size
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.05,0,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.05,1,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.05,2,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.05,3,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.05,4,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.1,0,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.1,1,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.1,2,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.1,3,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.1,4,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.2,0,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.2,1,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.2,2,auto,128
test_data,/bigdata2/hyt/projects/scbenchmark/data/cellxgene/test_data.parquet,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,module.embedding.weight,/bigdata2/hyt/projects/scbenchmark/vocab.json,ridge_pair,cell_holdout,0.2,3,auto,128
