dataset,embedding,clf,coverage,auroc,auprc,precision_at_k,recall_at_k,f1,specificity
hESC500 [scGREAT],minus,lr,848/910,0.8569165465090272,0.5576632212559982,0.5127238454288408,0.5127238454288408,0.4437799043062201,0.9605328071040947
hESC500 [scGREAT],minus,mlp,848/910,0.8562935556912252,0.5573594474544463,0.5193213949104618,0.5193213949104618,0.45711060948081267,0.9496793290577208
hESC500 [scGREAT],baseline,lr,848/910,0.8670104081856917,0.5829388604549518,0.5513666352497644,0.5513666352497644,0.48977206312098187,0.9620128268376912
hESC500 [scGREAT],baseline,mlp,848/910,0.8562204769076469,0.5564836622679804,0.5372290292177191,0.5372290292177191,0.4811691961776279,0.9523104752507812
hESC500 [scGREAT],scGPT_human,lr,848/910,0.8636387096534206,0.5790331594166966,0.5428840716305372,0.5428840716305372,0.48769574944071586,0.9521460286137149
hESC500 [scGREAT],scGPT_human,mlp,848/910,0.8481301208427046,0.536707929117212,0.5061262959472196,0.5061262959472196,0.45099218280216474,0.9626706133859563
hESC500 [scGREAT],v4_bias_rec_best,lr,848/910,0.8638084260224946,0.5667646665424996,0.5334590009425071,0.5334590009425071,0.462448255470136,0.960697253741161
hESC500 [scGREAT],v4_bias_rec_best,mlp,848/910,0.8611803796717917,0.5590568910660669,0.525918944392083,0.525918944392083,0.4708597807270629,0.9565860878145042
hESC500 [scGREAT],v4_plain_best,lr,848/910,0.8635342449659723,0.5766871432901305,0.5409990574929312,0.5409990574929312,0.4830409356725146,0.9611905936523598
hESC500 [scGREAT],v4_plain_best,mlp,848/910,0.8475446381174286,0.5491124189521226,0.5419415645617343,0.5419415645617343,0.4932102118413905,0.9463903963163953
hESC500 [scGREAT],v4_type_pe_best,lr,848/910,0.8599917451198018,0.5553554970304018,0.5174363807728558,0.5174363807728558,0.4544913741820345,0.9608617003782273
hESC500 [scGREAT],v4_type_pe_best,mlp,848/910,0.8558711246739547,0.5580691704158338,0.5249764373232799,0.5249764373232799,0.49035187287173665,0.9557638546291728
mESC500 [scGREAT],minus,lr,937/1120,0.8938321545637509,0.8094385943883564,0.7234787684225886,0.7234787684225886,0.7200247697190185,0.9109166456811886
mESC500 [scGREAT],minus,mlp,937/1120,0.8980332218889002,0.8188693612577286,0.7341310375018241,0.7341310375018241,0.7196531791907514,0.9294258373205742
mESC500 [scGREAT],baseline,lr,937/1120,0.8931687510240871,0.8068290509088252,0.7212899460090472,0.7212899460090472,0.7165220086794792,0.9100982120372703
mESC500 [scGREAT],baseline,mlp,937/1120,0.8987658196299355,0.8196946269953221,0.7389464468116154,0.7389464468116154,0.7237811569211475,0.91891211281793
mESC500 [scGREAT],scGPT_human,lr,937/1120,0.8975839602549683,0.8174251743901819,0.7301911571574493,0.7301911571574493,0.7236476043276662,0.9115462100226643
mESC500 [scGREAT],scGPT_human,mlp,937/1120,0.8999897862303393,0.8223758438776202,0.7341310375018241,0.7341310375018241,0.7299417475728155,0.916708637622765
mESC500 [scGREAT],v4_bias_rec_best,lr,937/1120,0.8935022051563607,0.8082525557175957,0.7255216693418941,0.7255216693418941,0.7183502597100551,0.9110425585494838
mESC500 [scGREAT],v4_bias_rec_best,mlp,937/1120,0.8983247020028432,0.8194721170429434,0.7316503720998103,0.7316503720998103,0.7228650137741047,0.9206748929740619
mESC500 [scGREAT],v4_plain_best,lr,937/1120,0.8932393140433031,0.8079077268948056,0.7234787684225886,0.7234787684225886,0.7160417471975261,0.9086502140518761
mESC500 [scGREAT],v4_plain_best,mlp,937/1120,0.8965122310029489,0.8170177993694502,0.729753392674741,0.729753392674741,0.7205271001647188,0.9179677663057164
mESC500 [scGREAT],v4_type_pe_best,lr,937/1120,0.894589391025986,0.8112269975549703,0.7281482562381438,0.7281482562381438,0.7197963277272026,0.9090909090909091
mESC500 [scGREAT],v4_type_pe_best,mlp,937/1120,0.8999679035182219,0.8251258364121147,0.7357361739384212,0.7357361739384212,0.7270870965208514,0.9212415008813901
hESC_Specific_500,minus,lr,442/500,0.7772525577047151,0.3768517066506203,0.3872832369942196,0.3872832369942196,0.38461538461538464,0.8861047835990888
hESC_Specific_500,minus,mlp,442/500,0.8197525906224078,0.41746072618101854,0.3815028901734104,0.3815028901734104,0.33793103448275863,0.9225512528473804
hESC_Specific_500,baseline,lr,442/500,0.81609543497439,0.44703208381390863,0.42196531791907516,0.42196531791907516,0.41818181818181815,0.8997722095671982
hESC_Specific_500,baseline,mlp,442/500,0.8258324884458897,0.39224471222872226,0.4161849710982659,0.4161849710982659,0.2923076923076923,0.9441913439635535
hESC_Specific_500,scGPT_human,lr,442/500,0.7596350086244353,0.37924775405726685,0.4161849710982659,0.4161849710982659,0.4192634560906516,0.8792710706150342
hESC_Specific_500,scGPT_human,mlp,442/500,0.8366755763887974,0.4852526759184376,0.44508670520231214,0.44508670520231214,0.3511450381679389,0.9510250569476082
hESC_Specific_500,v4_bias_rec_best,lr,442/500,0.8160756843588293,0.43411308667602716,0.4508670520231214,0.4508670520231214,0.43037974683544306,0.9145785876993167
hESC_Specific_500,v4_bias_rec_best,mlp,442/500,0.8032772854753972,0.38525713430201874,0.3930635838150289,0.3930635838150289,0.315018315018315,0.9350797266514806
hESC_Specific_500,v4_plain_best,lr,442/500,0.7904558442071444,0.40688951108935406,0.4161849710982659,0.4161849710982659,0.4036697247706422,0.8997722095671982
