dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
hESC500,minus,in_domain,hESC500,hESC500,lr,848/910,0.8569165465090272,0.5576632212559982
hESC500,minus,in_domain,hESC500,hESC500,mlp,848/910,0.8562935556912252,0.5573594474544463
hESC500,baseline,in_domain,hESC500,hESC500,lr,848/910,0.8670104081856917,0.5829388604549518
hESC500,baseline,in_domain,hESC500,hESC500,mlp,848/910,0.8562204769076469,0.5564836622679804
hESC500,scGPT_human,in_domain,hESC500,hESC500,lr,848/910,0.8636387096534206,0.5790331594166966
hESC500,scGPT_human,in_domain,hESC500,hESC500,mlp,848/910,0.8481301208427046,0.536707929117212
hESC500,v4_bias_rec_best,in_domain,hESC500,hESC500,lr,848/910,0.8638084260224946,0.5667646665424996
hESC500,v4_bias_rec_best,in_domain,hESC500,hESC500,mlp,848/910,0.8611803796717917,0.5590568910660669
hESC500,v4_plain_best,in_domain,hESC500,hESC500,lr,848/910,0.8635342449659723,0.5766871432901305
hESC500,v4_plain_best,in_domain,hESC500,hESC500,mlp,848/910,0.8475446381174286,0.5491124189521226
hESC500,v4_type_pe_best,in_domain,hESC500,hESC500,lr,848/910,0.8599917451198018,0.5553554970304018
hESC500,v4_type_pe_best,in_domain,hESC500,hESC500,mlp,848/910,0.8558711246739547,0.5580691704158338
hESC500,random_256,in_domain,hESC500,hESC500,lr,910/910,0.8533300289013802,0.5254551454520076
hESC500,random_256,in_domain,hESC500,hESC500,mlp,910/910,0.8534210092745733,0.5300976329978505
hHep500,minus,in_domain,hHep500,hHep500,lr,487/500,0.0,0.5
hHep500,baseline,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,scGPT_human,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,v4_bias_rec_best,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,v4_plain_best,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,v4_type_pe_best,in_domain,hHep500,hHep500,lr,487/500,0.0,0.5
hHep500,random_256,in_domain,hHep500,hHep500,lr,500/500,1.0,1.0
mESC500,minus,in_domain,mESC500,mESC500,lr,937/1120,0.8938321545637509,0.8094385943883564
mESC500,minus,in_domain,mESC500,mESC500,mlp,937/1120,0.8980332218889002,0.8188693612577286
mESC500,baseline,in_domain,mESC500,mESC500,lr,937/1120,0.8931687510240871,0.8068290509088252
mESC500,baseline,in_domain,mESC500,mESC500,mlp,937/1120,0.8987658196299355,0.8196946269953221
mESC500,scGPT_human,in_domain,mESC500,mESC500,lr,937/1120,0.8975839602549683,0.8174251743901819
mESC500,scGPT_human,in_domain,mESC500,mESC500,mlp,937/1120,0.8999897862303393,0.8223758438776202
mESC500,v4_bias_rec_best,in_domain,mESC500,mESC500,lr,937/1120,0.8935022051563607,0.8082525557175957
mESC500,v4_bias_rec_best,in_domain,mESC500,mESC500,mlp,937/1120,0.8983247020028432,0.8194721170429434
mESC500,v4_plain_best,in_domain,mESC500,mESC500,lr,937/1120,0.8932393140433031,0.8079077268948056
mESC500,v4_plain_best,in_domain,mESC500,mESC500,mlp,937/1120,0.8965122310029489,0.8170177993694502
mESC500,v4_type_pe_best,in_domain,mESC500,mESC500,lr,937/1120,0.894589391025986,0.8112269975549703
mESC500,v4_type_pe_best,in_domain,mESC500,mESC500,mlp,937/1120,0.8999679035182219,0.8251258364121147
mESC500,random_256,in_domain,mESC500,mESC500,lr,1120/1120,0.8737973373498062,0.7514138250401909
mESC500,random_256,in_domain,mESC500,mESC500,mlp,1120/1120,0.898725756444569,0.808770664977308
mHSC-E500,minus,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6626479993086164,0.7533821827328486
mHSC-E500,minus,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.6563175179327629,0.7851662919193156
mHSC-E500,baseline,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6291807103966813,0.7544599831364655
mHSC-E500,baseline,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7152147610405324,0.8333031427446866
mHSC-E500,scGPT_human,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.693933108633653,0.7926046365822097
mHSC-E500,scGPT_human,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7186500734595108,0.8163383726780215
mHSC-E500,v4_bias_rec_best,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6167790165067842,0.7370361253206577
mHSC-E500,v4_bias_rec_best,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.6989024284850056,0.8175429676588686
mHSC-E500,v4_plain_best,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6379526402212428,0.7353417412984135
mHSC-E500,v4_plain_best,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.6825252787140264,0.7943007417563246
mHSC-E500,v4_type_pe_best,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6632313542476882,0.758257088245226
mHSC-E500,v4_type_pe_best,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7000907441016333,0.8122019248169123
mHSC-E500,random_256,in_domain,mHSC-E500,mHSC-E500,lr,500/500,0.5596750496931985,0.6928981290291057
mHSC-E500,random_256,in_domain,mHSC-E500,mHSC-E500,mlp,500/500,0.6145536254429176,0.7526375819702983
mHSC-GM500,minus,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.713596214511041,0.7691321478307687
mHSC-GM500,minus,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7288880126182964,0.8101926752295081
mHSC-GM500,baseline,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7082334384858044,0.7764244997083345
mHSC-GM500,baseline,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7437697160883281,0.8231862418611842
mHSC-GM500,scGPT_human,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.695891167192429,0.7387147721055083
mHSC-GM500,scGPT_human,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7418454258675079,0.7957340709672369
mHSC-GM500,v4_bias_rec_best,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7293217665615142,0.7976597940146227
mHSC-GM500,v4_bias_rec_best,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7453627760252366,0.8161471371365256
mHSC-GM500,v4_plain_best,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7279337539432177,0.7833076127818478
mHSC-GM500,v4_plain_best,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7271372239747633,0.8092781329690952
mHSC-GM500,v4_type_pe_best,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7420189274447949,0.7995586455950536
mHSC-GM500,v4_type_pe_best,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7510252365930601,0.8219577532849835
mHSC-GM500,random_256,in_domain,mHSC-GM500,mHSC-GM500,lr,500/500,0.6789589905362776,0.7618802149005124
mHSC-GM500,random_256,in_domain,mHSC-GM500,mHSC-GM500,mlp,500/500,0.6515930599369086,0.7622152676485516
mHSC-L500,minus,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7487219348859457,0.8116306256448822
mHSC-L500,minus,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.771552712089051,0.8420117409562136
mHSC-L500,baseline,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7396932643726268,0.8071939316951311
