table,embedding,method,embedding_label,rank_frozen_linear,rank_frozen_backbone_trainable_head,rank_overall,adamson_pearson_r,adamson_mse,dixit_pearson_r,dixit_mse,norman_pearson_r,norman_mse,mean_pearson_r,mean_mse
A_rank,baseline,,,2.6666666666666665,2.5,2.583333333333333,,,,,,,,
A_rank,scGPT_human,,,3.333333333333333,5.0,4.166666666666666,,,,,,,,
A_rank,minus,,,4.0,4.0,4.0,,,,,,,,
A_rank,v4_bias_rec_best,,,2.0,1.5,1.75,,,,,,,,
A_rank,v4_plain_best,,,4.0,4.5,4.25,,,,,,,,
A_rank,v4_type_pe_best,,,5.0,3.5,4.25,,,,,,,,
B_effect,baseline,frozen_linear,baseline(frozen_linear),,,,0.1096373324096202,1.4094029903411864,0.4898338278657512,0.9618541904185948,0.0989112563058734,1.598634386062622,0.23279413886041492,1.3232971889408012
B_effect,baseline,frozen_backbone_trainable_head,baseline(frozen_head),,,,0.1696581198275089,1.1714186429977418,,,0.1280689830705523,1.2053653001785278,0.1488635514490306,1.1883919715881348
B_effect,scGPT_human,frozen_linear,scGPT_human(frozen_linear),,,,0.1703249851365884,1.1517045617103576,0.3573975500307585,0.9146131551579424,0.0975117991212755,1.2647858023643497,0.20841144476287413,1.1103678397442165
B_effect,scGPT_human,frozen_backbone_trainable_head,scGPT_human(frozen_head),,,,0.1650428595890601,1.1371469497680664,,,0.0721596842631697,1.1855419635772706,0.11860127192611489,1.1613444566726685
B_effect,minus,frozen_linear,minus(frozen_linear),,,,0.1290865744402011,1.3426822066307067,0.3690509388321324,0.9051917700195,0.0463792661018669,1.780828094482422,0.18150559312473347,1.342900690377543
B_effect,minus,frozen_backbone_trainable_head,minus(frozen_head),,,,0.1751864445954561,1.1046813249588012,,,0.0313691482134163,1.318994975090027,0.1032777964044362,1.211838150024414
B_effect,v4_bias_rec_best,frozen_linear,v4_bias_rec_best(frozen_linear),,,,0.1852228859563668,1.6061981320381165,0.670523138618783,0.6748136374119081,0.0553654955141246,1.9956491708755493,0.30370384002975814,1.4255536467751913
B_effect,v4_bias_rec_best,frozen_backbone_trainable_head,v4_bias_rec_best(frozen_head),,,,0.2245748147368431,1.1886988282203674,,,0.1083711065910756,1.2902016401290894,0.16647296066395934,1.2394502341747284
B_effect,v4_plain_best,frozen_linear,v4_plain_best(frozen_linear),,,,0.1087505361934502,1.5069998264312745,0.4673708928258795,0.9338846461553324,0.0817400588886812,1.6249351978302002,0.21928716263600365,1.3552732234722693
B_effect,v4_plain_best,frozen_backbone_trainable_head,v4_plain_best(frozen_head),,,,0.1365328759948412,1.2116564631462097,,,0.0963872037176042,1.2582491397857667,0.1164600398562227,1.234952801465988
B_effect,v4_type_pe_best,frozen_linear,v4_type_pe_best(frozen_linear),,,,0.1181083962942163,1.4307180643081665,0.3584359099990443,1.0788222821919542,0.0394161551818251,1.798466682434082,0.17198682049169522,1.4360023429780675
B_effect,v4_type_pe_best,frozen_backbone_trainable_head,v4_type_pe_best(frozen_head),,,,0.1710550183306138,1.1706317901611327,,,0.0797605285979807,1.3079366564750672,0.12540777346429724,1.2392842233181
