section,method,dataset,embedding,pearson_r,rank,note
average_rank_across_datasets,frozen_backbone_trainable_head,ALL,v4_bias_rec_best,,1.5,descriptive_only
average_rank_across_datasets,frozen_backbone_trainable_head,ALL,baseline,,2.5,descriptive_only
average_rank_across_datasets,frozen_backbone_trainable_head,ALL,v4_type_pe_best,,3.5,descriptive_only
average_rank_across_datasets,frozen_backbone_trainable_head,ALL,minus,,4.0,descriptive_only
average_rank_across_datasets,frozen_backbone_trainable_head,ALL,v4_plain_best,,4.5,descriptive_only
average_rank_across_datasets,frozen_backbone_trainable_head,ALL,scGPT_human,,5.0,descriptive_only
average_rank_across_datasets,frozen_linear,ALL,v4_bias_rec_best,,2.0,descriptive_only
average_rank_across_datasets,frozen_linear,ALL,baseline,,2.6666666666666665,descriptive_only
average_rank_across_datasets,frozen_linear,ALL,scGPT_human,,3.333333333333333,descriptive_only
average_rank_across_datasets,frozen_linear,ALL,minus,,4.0,descriptive_only
average_rank_across_datasets,frozen_linear,ALL,v4_plain_best,,4.0,descriptive_only
average_rank_across_datasets,frozen_linear,ALL,v4_type_pe_best,,5.0,descriptive_only
best_embedding_per_dataset,frozen_backbone_trainable_head,adamson,v4_bias_rec_best,0.2245748147368431,1.0,descriptive_only
best_embedding_per_dataset,frozen_backbone_trainable_head,norman,baseline,0.1280689830705523,1.0,descriptive_only
best_embedding_per_dataset,frozen_linear,adamson,v4_bias_rec_best,0.1852228859563668,1.0,descriptive_only
best_embedding_per_dataset,frozen_linear,dixit,v4_bias_rec_best,0.670523138618783,1.0,descriptive_only
best_embedding_per_dataset,frozen_linear,norman,baseline,0.0989112563058734,1.0,descriptive_only
