dataset,method,metric,comparator,mean_diff,median_diff,ci_lower,ci_upper,wins,losses,ties,n_folds,wilcoxon_stat,wilcoxon_p
adamson,frozen_backbone_trainable_head,mse,minus,-0.06673731803894038,-0.06441158056259155,-0.12088079452514644,-0.017093420028686503,1,4,0,5,1.0,0.125
adamson,frozen_backbone_trainable_head,mse,scGPT_human,-0.03427169322967525,-0.08685702085494995,-0.108460533618927,0.08791967630386366,1,4,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,mse,v4_bias_rec_best,0.017280185222625775,0.030134201049804688,-0.042139720916748,0.06526638269424442,4,1,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,mse,v4_plain_best,0.040237820148468065,0.024645209312438965,-0.027374017238616943,0.12954638004302993,4,1,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,mse,v4_type_pe_best,-0.0007868528366089089,0.007429242134094238,-0.038122034072875996,0.03604998588562007,3,2,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,pearson_r,minus,-0.005528324767947198,-0.004042698442935894,-0.035430651754140854,0.02437400221824646,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,pearson_r,scGPT_human,0.004615260238448801,0.014804268876711504,-0.03620642354091007,0.04543694401780767,3,2,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,pearson_r,v4_bias_rec_best,-0.05491669490933417,-0.02820171353717639,-0.10627981168528396,-0.0035535781333843526,1,4,0,5,2.0,0.1875
adamson,frozen_backbone_trainable_head,pearson_r,v4_plain_best,0.033125243832667656,-0.024061894665161704,-0.032672300438086194,0.10966137508551273,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,pearson_r,v4_type_pe_best,-0.0013968985031048513,-0.0068452234069506235,-0.02777119378248854,0.027524613787730558,2,3,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,sign_acc,minus,0.005520833333333352,0.004427083333333304,-0.005677083333333321,0.016718750000000025,3,2,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,sign_acc,scGPT_human,0.017552083333333312,0.028125000000000067,-0.002031250000000062,0.03489583333333333,4,1,0,5,2.0,0.1875
adamson,frozen_backbone_trainable_head,sign_acc,v4_bias_rec_best,-0.013749999999999995,-0.008333333333333304,-0.04510416666666668,0.017604166666666688,2,3,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,sign_acc,v4_plain_best,0.019322916666666655,0.013802083333333326,-0.00588541666666671,0.04453125000000002,3,2,0,5,4.0,0.4375
