dataset,context,embedding,method,fold_id,pearson_r,mse,sign_acc,n_train,n_test
adamson,dataset::all,minus,frozen_linear,0,0.062362969915072126,1.1923104524612427,0.5307291666666667,60,15
adamson,dataset::all,minus,frozen_linear,1,0.06214936096221209,1.1861655712127686,0.5197916666666667,60,15
adamson,dataset::all,minus,frozen_linear,2,0.15801881949106852,1.52590012550354,0.57109375,60,15
adamson,dataset::all,minus,frozen_linear,3,0.15216238548358282,0.819611132144928,0.5510416666666667,60,15
adamson,dataset::all,minus,frozen_linear,4,0.21073933634907008,1.9894237518310547,0.5658854166666667,60,15
adamson,dataset::all,minus,frozen_mlp,0,-0.011258264382680258,1.3228777647018433,0.5044270833333333,60,15
adamson,dataset::all,minus,frozen_mlp,1,0.07136431522667408,1.0782126188278198,0.5096354166666667,60,15
adamson,dataset::all,minus,frozen_mlp,2,0.19052084982395173,1.3196638822555542,0.5986979166666667,60,15
adamson,dataset::all,minus,frozen_mlp,3,0.17112293156484762,0.7663636803627014,0.5559895833333334,60,15
adamson,dataset::all,minus,frozen_mlp,4,0.22385487283269564,1.8275388479232788,0.5770833333333333,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,0,0.0746130702396234,0.9494065642356873,0.5471354166666667,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,1,0.14140902906656266,0.9051478505134583,0.5471354166666667,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,2,0.20787894775470098,1.2580541372299194,0.5872395833333334,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,3,0.2343654381732146,0.5793958306312561,0.60546875,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,4,0.22637382398049036,1.7837923765182495,0.5731770833333333,60,15
adamson,dataset::all,baseline,frozen_linear,0,0.06725983396172523,1.300525426864624,0.5453125,60,15
adamson,dataset::all,baseline,frozen_linear,1,0.06185127273201942,1.2127337455749512,0.5145833333333333,60,15
adamson,dataset::all,baseline,frozen_linear,2,0.09635383561253548,1.523133397102356,0.5484375,60,15
adamson,dataset::all,baseline,frozen_linear,3,0.1514582671225071,0.8808289766311646,0.5747395833333333,60,15
adamson,dataset::all,baseline,frozen_linear,4,0.1712634526193142,2.129793405532837,0.5598958333333334,60,15
adamson,dataset::all,baseline,frozen_mlp,0,0.02834686003625393,1.253184199333191,0.5497395833333333,60,15
adamson,dataset::all,baseline,frozen_mlp,1,0.08836409412324428,0.957671582698822,0.5221354166666666,60,15
adamson,dataset::all,baseline,frozen_mlp,2,0.1468879647552967,1.3935357332229614,0.5731770833333333,60,15
adamson,dataset::all,baseline,frozen_mlp,3,0.09910216058293979,0.8110561370849609,0.5671875,60,15
adamson,dataset::all,baseline,frozen_mlp,4,0.13895725707213083,2.1915879249572754,0.5489583333333333,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,0,0.1125790777305762,1.126545786857605,0.5677083333333334,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,1,0.1290161689122518,0.9421152472496033,0.54921875,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,2,0.17252424036463102,1.2578530311584473,0.57734375,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,3,0.19577855753401915,0.643457293510437,0.6046875,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,4,0.24623422250151633,1.8522639274597168,0.5888020833333333,60,15
adamson,dataset::all,scGPT_human,frozen_linear,0,0.08373900453249614,1.083720326423645,0.53515625,60,15
adamson,dataset::all,scGPT_human,frozen_linear,1,0.162776671970884,0.9057693481445312,0.5536458333333333,60,15
adamson,dataset::all,scGPT_human,frozen_linear,2,0.2213227078318596,1.1160141229629517,0.57421875,60,15
adamson,dataset::all,scGPT_human,frozen_linear,3,0.1747071356823047,0.5572722554206848,0.5809895833333333,60,15
adamson,dataset::all,scGPT_human,frozen_linear,4,0.20907940566539765,2.0957467555999756,0.55234375,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,0,0.07780120025078456,1.3106104135513306,0.52421875,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,1,-0.015338775018850963,1.1385520696640015,0.49375,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,2,0.09393329061567783,1.2281464338302612,0.5393229166666667,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,3,0.0960872037957112,0.7200958728790283,0.53828125,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,4,-0.003577844301859538,2.5468058586120605,0.4901041666666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,0,0.07640397995710373,1.0902245044708252,0.5283854166666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,1,0.1793374334772428,0.8508425951004028,0.5692708333333333,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,2,0.22842805882294973,1.1298677921295166,0.5877604166666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,3,0.1471450686454773,0.5316727757453918,0.5713541666666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,4,0.19792625804742178,2.108517646789551,0.5598958333333334,60,15
dixit,dataset::all,minus,frozen_linear,0,0.9622791409492493,0.8956947326660156,0.99609375,18,1
dixit,dataset::all,minus,frozen_linear,1,-0.9520201683044434,1.9238548278808594,0.00390625,18,1
dixit,dataset::all,minus,frozen_linear,2,0.987276554107666,0.20877547562122345,1.0,18,1
dixit,dataset::all,minus,frozen_linear,3,0.9844776391983032,0.023120634257793427,1.0,18,1
dixit,dataset::all,minus,frozen_linear,4,0.9624667167663574,0.6493380665779114,1.0,18,1
dixit,dataset::all,minus,frozen_linear,5,-0.9801366329193115,2.163410186767578,0.00390625,18,1
dixit,dataset::all,minus,frozen_linear,6,0.9193901419639587,0.5744531154632568,0.99609375,18,1
dixit,dataset::all,minus,frozen_linear,7,-0.9151744842529297,1.8321478366851807,0.015625,18,1
dixit,dataset::all,minus,frozen_linear,8,0.9834259152412415,0.525837242603302,1.0,18,1
dixit,dataset::all,minus,frozen_linear,9,0.9876027703285217,0.28429681062698364,1.0,18,1
dixit,dataset::all,minus,frozen_linear,10,-0.9858670234680176,2.3282406330108643,0.0,18,1
dixit,dataset::all,minus,frozen_linear,11,0.9859763383865356,0.3898513913154602,1.0,18,1
dixit,dataset::all,minus,frozen_linear,12,0.9895608425140381,0.09061787277460098,1.0,18,1
dixit,dataset::all,minus,frozen_linear,13,0.9937032461166382,0.02043977938592434,1.0,18,1
dixit,dataset::all,minus,frozen_linear,14,-0.868662416934967,1.1853456497192383,0.0390625,18,1
dixit,dataset::all,minus,frozen_linear,15,0.9721455574035645,0.07697868347167969,1.0,18,1
dixit,dataset::all,minus,frozen_linear,16,0.980704665184021,0.14587220549583435,1.0,18,1
dixit,dataset::all,minus,frozen_linear,17,-0.9815958738327026,3.798295021057129,0.0,18,1
dixit,dataset::all,minus,frozen_linear,18,0.986414909362793,0.08207346498966217,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,0,0.9827613830566406,0.6972895860671997,0.99609375,18,1
dixit,dataset::all,baseline,frozen_linear,1,0.9811320304870605,0.5399034023284912,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,2,0.9794688820838928,0.6565757989883423,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,3,0.8265742659568787,0.4953186810016632,0.93359375,18,1
dixit,dataset::all,baseline,frozen_linear,4,0.8490070104598999,1.017870306968689,0.97265625,18,1
dixit,dataset::all,baseline,frozen_linear,5,-0.9624046087265015,2.2678518295288086,0.0,18,1
dixit,dataset::all,baseline,frozen_linear,6,0.9218918681144714,0.7992085218429565,0.99609375,18,1
dixit,dataset::all,baseline,frozen_linear,7,-0.21591593325138092,1.394498586654663,0.37890625,18,1
dixit,dataset::all,baseline,frozen_linear,8,0.9908549189567566,0.19926205277442932,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,9,-0.9916195869445801,4.176182746887207,0.0,18,1
dixit,dataset::all,baseline,frozen_linear,10,-0.9748426675796509,1.984328269958496,0.0,18,1
dixit,dataset::all,baseline,frozen_linear,11,0.9899746775627136,0.09907694160938263,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,12,0.9917199611663818,0.06406837701797485,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,13,0.9936214685440063,0.02882891148328781,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,14,0.989834189414978,0.08451065421104431,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,15,0.9723058938980103,0.1399102509021759,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,16,0.9752610921859741,0.238111212849617,1.0,18,1
dixit,dataset::all,baseline,frozen_linear,17,-0.9803351163864136,3.3482847213745117,0.0,18,1
dixit,dataset::all,baseline,frozen_linear,18,0.9875530004501343,0.0441487655043602,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,0,0.988359272480011,0.4314518868923187,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,1,-0.9849434494972229,2.300218105316162,0.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,2,0.9611549377441406,0.9458107948303223,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,3,-0.9791352152824402,0.9064546823501587,0.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,4,0.968452513217926,0.8486590385437012,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,5,-0.986790657043457,2.268958568572998,0.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,6,0.9301415681838989,0.23540088534355164,0.99609375,18,1
dixit,dataset::all,scGPT_human,frozen_linear,7,0.9914655089378357,0.3976058065891266,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,8,0.9883679151535034,0.46888917684555054,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,9,-0.9859879016876221,1.6089675426483154,0.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,10,-0.9942874908447266,2.4718852043151855,0.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,11,0.9884413480758667,0.4614448547363281,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,12,0.9909601211547852,0.11039483547210693,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,13,0.9951874017715454,0.07558188587427139,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,14,0.9599857926368713,0.6853030920028687,1.0,18,1
