train_dataset,test_dataset,embedding,clf,native_mean_auroc,native_mean_auprc,strict_mean_auroc,strict_std_auroc,strict_mean_auprc,strict_std_auprc,strict_n,covmatch_mean_auroc,covmatch_std_auroc,covmatch_mean_auprc,covmatch_std_auprc,covmatch_n
hESC500,mESC500,difference_v3,lr,0.5762597735092735,0.40318327946057436,0.558396,0.011023,0.378682,0.014052,5,0.576011,0.005167,0.403182,0.005452,20
hESC500,mESC500,baseline,lr,0.5633843948162329,0.3881588912208146,0.564857,0.010729,0.381986,0.008885,5,0.565710,0.005082,0.389167,0.005357,20
hESC500,mESC500,scGPT_human,lr,0.5403277391323388,0.3729123527721235,0.574271,0.015503,0.388393,0.009801,5,0.538365,0.004080,0.370054,0.004070,20
hESC500,mESC500,difference_v3,mlp,0.5492903669248776,0.39014416067752883,0.544502,0.023128,0.430231,0.021209,5,0.557720,0.011654,0.393053,0.012859,20
hESC500,mESC500,baseline,mlp,0.5362591033094607,0.38597602591133945,0.565723,0.029177,0.452601,0.022408,5,0.543820,0.012119,0.393090,0.013457,20
hESC500,mESC500,scGPT_human,mlp,0.5249782505563579,0.3703903408574782,0.573652,0.030091,0.467126,0.019902,5,0.527552,0.010357,0.373707,0.009738,20
mESC500,hESC500,difference_v3,lr,0.5749179151188581,0.19737538188064213,0.546755,0.006040,0.255007,0.008170,5,0.574091,0.006069,0.197732,0.003613,20
mESC500,hESC500,baseline,lr,0.5786582370630418,0.17471650787010626,0.557803,0.010074,0.258843,0.009938,5,0.576869,0.005311,0.174382,0.002339,20
mESC500,hESC500,scGPT_human,lr,0.5489409927746255,0.19255551012868374,0.520097,0.009373,0.231010,0.007046,5,0.548537,0.004896,0.193271,0.003501,20
mESC500,hESC500,difference_v3,mlp,0.5947335047828985,0.2126075404818198,0.529412,0.014738,0.241093,0.006087,5,0.602829,0.012147,0.213215,0.005824,20
mESC500,hESC500,baseline,mlp,0.5961440686614687,0.20558507541582544,0.545436,0.010531,0.252356,0.008508,5,0.597537,0.012650,0.210860,0.009291,20
mESC500,hESC500,scGPT_human,mlp,0.5788337347430298,0.21169954820250392,0.522260,0.021200,0.241447,0.006159,5,0.572752,0.014428,0.208275,0.007290,20
