train_dataset,test_dataset,embedding,clf,seed,coverage_train,coverage_test,auroc,auprc
hESC500,mESC500,difference_v3,lr,0,848/910,937/1120,0.6208360561171955,0.40326635389548193
hESC500,mESC500,difference_v3,lr,1,848/910,937/1120,0.6116527536591257,0.39651113684510353
hESC500,mESC500,difference_v3,lr,2,848/910,937/1120,0.6116414769886287,0.39313454670097314
hESC500,mESC500,difference_v3,lr,3,848/910,937/1120,0.6129895007445451,0.3949014403620216
hESC500,mESC500,difference_v3,lr,4,848/910,937/1120,0.6066985838853649,0.3910228899434428
hESC500,mESC500,difference_v3,mlp,0,848/910,937/1120,0.5328330481721358,0.3257349651474775
hESC500,mESC500,difference_v3,mlp,1,848/910,937/1120,0.5587088132356638,0.35486091489199834
hESC500,mESC500,difference_v3,mlp,2,848/910,937/1120,0.5572864093879518,0.35629211329215427
hESC500,mESC500,difference_v3,mlp,3,848/910,937/1120,0.5379384401642685,0.34564680692297567
hESC500,mESC500,difference_v3,mlp,4,848/910,937/1120,0.5504138322185032,0.3589279491981212
hESC500,mESC500,baseline,lr,0,848/910,937/1120,0.6098872542406987,0.38919055461228613
hESC500,mESC500,baseline,lr,1,848/910,937/1120,0.5977517975334307,0.37935179099845345
hESC500,mESC500,baseline,lr,2,848/910,937/1120,0.5997875649825601,0.37493381676044035
hESC500,mESC500,baseline,lr,3,848/910,937/1120,0.598062987705664,0.3764353466669271
hESC500,mESC500,baseline,lr,4,848/910,937/1120,0.5964782089894917,0.3729286950239527
hESC500,mESC500,baseline,mlp,0,848/910,937/1120,0.5147150214952173,0.3210768577789452
hESC500,mESC500,baseline,mlp,1,848/910,937/1120,0.533701595247876,0.34053575558807614
hESC500,mESC500,baseline,mlp,2,848/910,937/1120,0.5705508514359341,0.37066525223100516
hESC500,mESC500,baseline,mlp,3,848/910,937/1120,0.5390870299162581,0.3482970485757423
hESC500,mESC500,baseline,mlp,4,848/910,937/1120,0.5213681744081922,0.3412721345881672
hESC500,mESC500,scGPT_human,lr,0,848/910,937/1120,0.5730899993506842,0.3645084622098322
hESC500,mESC500,scGPT_human,lr,1,848/910,937/1120,0.5775413674207316,0.3609341169764517
hESC500,mESC500,scGPT_human,lr,2,848/910,937/1120,0.5719079286816874,0.35789631802474675
