train_dataset,test_dataset,direction,protocol,embedding,clf,seed,n_common_genes,retained_fraction,n_train_edges,n_test_edges,oov_train_count,oov_test_count,oov_train_rate,oov_test_rate,oov_policy,auroc,auprc,f1,balanced_accuracy,precision_at_k,recall_at_k,calibration_brier
hESC,hHep,hESC->hHep,native,minus,lr,0,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.563580,0.572488,0.452830,0.516667,0.500000,1.000000,0.435713
hESC,hHep,hESC->hHep,native,minus,lr,1,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.538765,0.603128,0.526316,0.550000,0.500000,1.000000,0.423183
hESC,hHep,hESC->hHep,native,minus,lr,2,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.541235,0.573381,0.509554,0.572222,0.500000,1.000000,0.399695
hESC,hHep,hESC->hHep,native,minus,lr,3,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.606173,0.634166,0.480000,0.566667,0.500000,1.000000,0.399071
hESC,hHep,hESC->hHep,native,minus,lr,4,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.523457,0.574909,0.512500,0.566667,0.500000,1.000000,0.403330
hESC,hHep,hESC->hHep,native,minus,mlp,0,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.599630,0.624514,0.516129,0.583333,0.500000,1.000000,0.353738
hESC,hHep,hESC->hHep,native,minus,mlp,1,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.565432,0.607045,0.526316,0.600000,0.500000,1.000000,0.353429
hESC,hHep,hESC->hHep,native,minus,mlp,2,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.593210,0.651489,0.545455,0.583333,0.500000,1.000000,0.349381
hESC,hHep,hESC->hHep,native,minus,mlp,3,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.578889,0.591759,0.503226,0.572222,0.500000,1.000000,0.369586
hESC,hHep,hESC->hHep,native,minus,mlp,4,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.625185,0.665578,0.609756,0.644444,0.500000,1.000000,0.314553
hESC,hHep,hESC->hHep,native,baseline,lr,0,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.686296,0.688405,0.575163,0.638889,0.500000,1.000000,0.322439
hESC,hHep,hESC->hHep,native,baseline,lr,1,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.687284,0.712368,0.619048,0.644444,0.500000,1.000000,0.325164
hESC,hHep,hESC->hHep,native,baseline,lr,2,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.699136,0.716963,0.594937,0.644444,0.500000,1.000000,0.324100
hESC,hHep,hESC->hHep,native,baseline,lr,3,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.646667,0.689171,0.517483,0.616667,0.500000,1.000000,0.352970
hESC,hHep,hESC->hHep,native,baseline,lr,4,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.688889,0.744480,0.598802,0.627778,0.500000,1.000000,0.336211
hESC,hHep,hESC->hHep,native,baseline,mlp,0,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.663827,0.679779,0.600000,0.644444,0.500000,1.000000,0.316279
hESC,hHep,hESC->hHep,native,baseline,mlp,1,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.677654,0.744683,0.573248,0.627778,0.500000,1.000000,0.311734
hESC,hHep,hESC->hHep,native,baseline,mlp,2,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.653457,0.716033,0.538462,0.600000,0.500000,1.000000,0.333245
hESC,hHep,hESC->hHep,native,baseline,mlp,3,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.649506,0.737697,0.610390,0.666667,0.500000,1.000000,0.275214
hESC,hHep,hESC->hHep,native,baseline,mlp,4,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.687531,0.744201,0.589744,0.644444,0.500000,1.000000,0.300529
hESC,hHep,hESC->hHep,native,scGPT_human,lr,0,11515,1.0,2342,180,1561,704,0.11169147109330281,0.061137646547980894,mean_embedding,0.685432,0.696747,0.552941,0.577778,0.500000,1.000000,0.334000
