train_dataset,test_dataset,protocol,embedding,clf,n,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_precision_at_k,std_precision_at_k,mean_recall_at_k,std_recall_at_k,mean_calibration_brier,std_calibration_brier
hESC,hHep,coverage_matched,baseline,lr,5,0.6729846,0.04197712404441256,0.681419,0.05313045587231486,0.6070144000000001,0.029358280594067507,0.634005,0.022477012826441177,0.453608,0.0,1.0,0.0,0.31422479999999997,0.02639165338814527
hESC,hHep,coverage_matched,baseline,mlp,5,0.7060036,0.022150555628245534,0.7230724,0.020973735467007284,0.6292692,0.021535649285777288,0.6563034,0.018157797417087816,0.453608,0.0,1.0,0.0,0.26980139999999997,0.02190639061643884
hESC,hHep,coverage_matched,minus,lr,5,0.529875,0.026944387170614943,0.4991792,0.03468898642162955,0.4556208,0.05607755678486715,0.579375,0.030140296946115183,0.390244,0.0,1.0,0.0,0.3569782,0.019126979389333797
hESC,hHep,coverage_matched,minus,mlp,5,0.51975,0.023067834748844558,0.5070708,0.014007715808082336,0.4871594,0.01978603806324045,0.572,0.02785677655436822,0.390244,0.0,1.0,0.0,0.3468634,0.010803934831347336
hESC,hHep,coverage_matched,scGPT_human,lr,5,0.6458334,0.02688188429109836,0.5359494,0.014201162580577674,0.430719,0.048033713568700884,0.551845,0.020280427017200578,0.421687,0.0,1.0,0.0,0.3468494,0.013315913766617744
hESC,hHep,coverage_matched,scGPT_human,mlp,5,0.6386904,0.01402012806788869,0.5779738,0.028244629715399,0.5117503999999999,0.044828511996719216,0.616607,0.026066513997847887,0.421687,0.0,1.0,0.0,0.3178146,0.016269365440606462
hESC,hHep,coverage_matched,v4_bias_rec_best,lr,5,0.5602042,0.04605191297829005,0.6631254,0.037751301003276685,0.569823,0.046062601489711814,0.5616418,0.03402982800661796,0.526882,0.0,1.0,0.0,0.3908454,0.027919455973209783
hESC,hHep,coverage_matched,v4_bias_rec_best,mlp,5,0.5511132,0.022221541192275575,0.6636944,0.02923389444873881,0.584805,0.015516704598593101,0.5550094,0.021563498682727715,0.526882,0.0,1.0,0.0,0.3801858,0.010646184056271053
hESC,hHep,coverage_matched,v4_plain_best,lr,5,0.5452632000000001,0.03673720943893262,0.5586186,0.02474052573895714,0.4877904,0.023371910230873306,0.5693232,0.026998255457714303,0.479452,0.0,1.0,0.0,0.3729978,0.01833906093997182
hESC,hHep,coverage_matched,v4_plain_best,mlp,5,0.5375938,0.04410640908711567,0.572636,0.05368014252589126,0.4721314,0.07213616452404438,0.5962406,0.0443004745825595,0.479452,0.0,1.0,0.0,0.339063,0.0357938880983891
hESC,hHep,coverage_matched,v4_type_pe_best,lr,5,0.800171,0.032562900650894115,0.8724016,0.013660461933624348,0.6600742,0.0617340563170767,0.724818,0.03298249857727579,0.581633,0.0,1.0,0.0,0.2662992,0.029301800636820936
hESC,hHep,coverage_matched,v4_type_pe_best,mlp,5,0.7859648,0.03742525710479489,0.8649764,0.026886547964363152,0.6042886,0.04746045251617395,0.7057338000000001,0.021970494672628564,0.581633,0.0,1.0,0.0,0.281618,0.024885054896463463
hESC,hHep,native,baseline,lr,5,0.6816544,0.018084804567370917,0.7102774000000001,0.0207015347508343,0.5810866,0.03471957326120239,0.6344444,0.010772328524511337,0.5,0.0,1.0,0.0,0.3321768,0.011470577551283112
hESC,hHep,native,baseline,mlp,5,0.666395,0.014371641284140098,0.7244786,0.024662924965218533,0.5823688,0.025145323687715774,0.6366666,0.02211084198849064,0.5,0.0,1.0,0.0,0.3074002,0.019228798500166358
hESC,hHep,native,minus,lr,5,0.554642,0.028773817292809784,0.5916144,0.024168359850018785,0.49623999999999996,0.026436269298068506,0.5544446000000001,0.020306213852907203,0.5,0.0,1.0,0.0,0.4121984,0.01470312899487724
hESC,hHep,native,minus,mlp,5,0.5924692,0.020187032604124844,0.628077,0.027307449027692058,0.5401764,0.03742967953162303,0.5966664,0.025482934498208803,0.5,0.0,1.0,0.0,0.3481374,0.01815967321952683
hESC,hHep,native,scGPT_human,lr,5,0.6742222,0.011131814396584224,0.6804838,0.023439501644872913,0.5859598,0.030202488092208536,0.6244446,0.03231806512525156,0.5,0.0,1.0,0.0,0.329501,0.008300203852918306
hESC,hHep,native,scGPT_human,mlp,5,0.678543,0.009080513751985628,0.7045712000000001,0.0337815729319995,0.621695,0.0407168524716732,0.6666666,0.026758831473739652,0.5,0.0,1.0,0.0,0.2878546,0.012690198431860698
hESC,hHep,native,v4_bias_rec_best,lr,5,0.4744446,0.018519866355889293,0.513034,0.010140203548252895,0.4370766,0.027228488754244135,0.508889,0.018459304591451956,0.5,0.0,1.0,0.0,0.45674919999999997,0.021021656322944688
hESC,hHep,native,v4_bias_rec_best,mlp,5,0.5253088,0.01597006319837216,0.5551692,0.01589396629416333,0.4989748,0.031883776918050354,0.5711112,0.018392025917772052,0.5,0.0,1.0,0.0,0.385789,0.023231387715760752
hESC,hHep,native,v4_plain_best,lr,5,0.6302962,0.034595708944318494,0.6124574,0.03302212988043016,0.5018686,0.021132746216239878,0.5899998,0.01770813302863971,0.5,0.0,1.0,0.0,0.3669946,0.01182680588493782
hESC,hHep,native,v4_plain_best,mlp,5,0.6807654,0.01495007377373103,0.65794,0.026990604365223072,0.6269412,0.030749473201341197,0.6777778,0.024088535259745466,0.5,0.0,1.0,0.0,0.285085,0.014469796225241053
hESC,hHep,native,v4_type_pe_best,lr,5,0.752815,0.03661304292735034,0.761895,0.022566404312605915,0.6676274,0.030669502862615813,0.6744443999999999,0.020667848234395346,0.5,0.0,1.0,0.0,0.284518,0.02214452877800745
hESC,hHep,native,v4_type_pe_best,mlp,5,0.716395,0.013599988235289013,0.7469998,0.012502529302505179,0.6070528,0.013373085124981424,0.652222,0.009686735239491163,0.5,0.0,1.0,0.0,0.2947588,0.009959672894227006
hESC,hHep,strict,baseline,lr,5,0.6112822,0.014177026703790858,0.6286628,0.03419744080132313,0.5104152,0.03375316918690749,0.6035228,0.018505628477844233,0.485075,0.0,1.0,0.0,0.3436742,0.013662660742329805
