protocol,clf,embedding,n_slots_compared,wins_vs_baseline,losses_vs_baseline,ties_vs_baseline,win_rate_vs_baseline
coverage_matched,lr,scgpt_human,60,29,31,0,0.48333333333333334
coverage_matched,lr,v4_bias_rec_best,60,25,35,0,0.4166666666666667
coverage_matched,lr,v4_plain_best,60,25,35,0,0.4166666666666667
coverage_matched,lr,minus,60,24,36,0,0.4
coverage_matched,mlp,v4_bias_rec_best,60,28,32,0,0.4666666666666667
coverage_matched,mlp,v4_plain_best,60,24,36,0,0.4
coverage_matched,mlp,minus,60,21,39,0,0.35
coverage_matched,mlp,scgpt_human,60,21,39,0,0.35
native,lr,scgpt_human,60,33,27,0,0.55
native,lr,minus,60,25,35,0,0.4166666666666667
native,lr,v4_plain_best,60,19,41,0,0.31666666666666665
native,lr,v4_bias_rec_best,60,14,46,0,0.23333333333333334
native,mlp,scgpt_human,60,33,27,0,0.55
native,mlp,minus,60,23,37,0,0.38333333333333336
native,mlp,v4_bias_rec_best,60,23,37,0,0.38333333333333336
native,mlp,v4_plain_best,60,19,41,0,0.31666666666666665
strict,lr,scgpt_human,60,34,26,0,0.5666666666666667
strict,lr,v4_plain_best,60,30,29,1,0.5
strict,lr,minus,60,24,36,0,0.4
strict,lr,v4_bias_rec_best,60,14,46,0,0.23333333333333334
strict,mlp,scgpt_human,60,32,28,0,0.5333333333333333
strict,mlp,v4_plain_best,60,31,29,0,0.5166666666666667
strict,mlp,minus,60,23,37,0,0.38333333333333336
strict,mlp,v4_bias_rec_best,60,23,37,0,0.38333333333333336
