train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,v4_type_pe_best_points,winner,winner_margin,winner_margin_fraction
mDC,hHep,6,25.0,22.0,17.0,2.0,19.0,5.0,baseline,3.0,0.1
mDC,mHSC-L,6,23.0,18.0,19.0,1.0,12.0,17.0,baseline,4.0,0.13333333333333333
mHSC-E,mHSC-GM,6,30.0,24.0,18.0,6.0,12.0,0.0,baseline,6.0,0.2
mHSC-L,mHSC-GM,6,30.0,0.0,15.0,6.0,24.0,15.0,baseline,6.0,0.2
mDC,mHSC-E,6,7.0,20.0,15.0,18.0,12.0,18.0,minus,2.0,0.06666666666666667
mHSC-GM,mHSC-L,6,3.0,27.0,24.0,12.0,9.0,15.0,minus,3.0,0.1
mDC,hESC,6,20.0,27.0,23.0,5.0,12.0,3.0,minus,4.0,0.13333333333333333
hHep,hESC,6,15.0,25.0,8.0,6.0,16.0,20.0,minus,5.0,0.16666666666666666
mHSC-E,mHSC-L,6,21.0,30.0,18.0,3.0,15.0,3.0,minus,9.0,0.3
hHep,mHSC-E,6,9.0,19.0,18.0,9.0,19.0,16.0,mixed,0.0,0.0
mHSC-GM,hHep,6,20.0,15.0,21.0,9.0,16.0,9.0,scgpt_human,1.0,0.03333333333333333
mHSC-L,mDC,6,24.0,3.0,25.0,9.0,20.0,9.0,scgpt_human,1.0,0.03333333333333333
hESC,mDC,6,24.0,5.0,27.0,6.0,13.0,15.0,scgpt_human,3.0,0.1
hESC,mHSC-E,6,9.0,13.0,21.0,14.0,18.0,15.0,scgpt_human,3.0,0.1
mDC,mHSC-GM,6,23.0,10.0,26.0,0.0,14.0,17.0,scgpt_human,3.0,0.1
mHSC-GM,mHSC-E,6,24.0,18.0,30.0,0.0,12.0,6.0,scgpt_human,6.0,0.2
mHSC-L,mHSC-E,6,24.0,12.0,30.0,0.0,12.0,12.0,scgpt_human,6.0,0.2
mHSC-E,hESC,6,11.0,12.0,9.0,22.0,20.0,16.0,v4_bias_rec_best,2.0,0.06666666666666667
mHSC-GM,mDC,6,18.0,5.0,11.0,21.0,19.0,16.0,v4_bias_rec_best,2.0,0.06666666666666667
mHSC-E,hHep,6,17.5,16.0,17.0,22.0,2.5,15.0,v4_bias_rec_best,4.5,0.15
hHep,mHSC-GM,6,18.0,7.0,11.0,28.0,5.0,21.0,v4_bias_rec_best,7.0,0.23333333333333334
mHSC-L,hESC,6,17.0,10.0,15.0,11.0,19.0,18.0,v4_plain_best,1.0,0.03333333333333333
mHSC-GM,hESC,6,20.0,15.0,13.0,4.0,23.0,15.0,v4_plain_best,3.0,0.1
hESC,hHep,6,21.0,6.0,6.0,15.0,25.0,17.0,v4_plain_best,4.0,0.13333333333333333
hHep,mDC,6,8.0,18.0,13.0,11.0,26.0,14.0,v4_plain_best,8.0,0.26666666666666666
hHep,mHSC-L,6,9.0,15.0,7.0,16.0,20.0,23.0,v4_type_pe_best,3.0,0.1
hESC,mHSC-GM,6,13.0,19.0,10.0,7.0,18.0,23.0,v4_type_pe_best,4.0,0.13333333333333333
mHSC-E,mDC,6,16.0,7.0,12.0,10.0,19.0,26.0,v4_type_pe_best,7.0,0.23333333333333334
hESC,mHSC-L,6,9.0,11.0,16.0,16.0,11.0,27.0,v4_type_pe_best,11.0,0.36666666666666664
mHSC-L,hHep,6,17.0,1.0,17.0,16.0,10.0,29.0,v4_type_pe_best,12.0,0.4
