train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,v4_type_pe_best_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,hESC,6,25.0,11.0,19.0,5.0,23.0,7.0,baseline,2.0,0.06666666666666667
mHSC-L,hESC,6,21.0,10.0,11.0,19.0,17.0,12.0,baseline,2.0,0.06666666666666667
mHSC-E,mHSC-GM,6,30.0,18.0,24.0,0.0,12.0,6.0,baseline,6.0,0.2
mDC,hHep,6,28.0,19.0,15.0,1.0,17.0,10.0,baseline,9.0,0.3
mHSC-GM,mHSC-E,6,30.0,21.0,21.0,0.0,12.0,6.0,baseline,9.0,0.3
mDC,mHSC-E,6,12.0,24.0,9.0,17.0,7.0,21.0,minus,3.0,0.1
mHSC-E,mHSC-L,6,9.0,30.0,24.0,0.0,18.0,9.0,minus,6.0,0.2
hESC,hHep,6,18.0,7.0,3.0,14.0,24.0,24.0,mixed,0.0,0.0
mHSC-E,mDC,6,20.0,6.0,12.0,20.0,15.0,17.0,mixed,0.0,0.0
mHSC-GM,hHep,6,12.0,16.0,18.0,18.0,15.0,11.0,mixed,0.0,0.0
mHSC-L,mDC,6,11.0,2.0,25.0,8.0,19.0,25.0,mixed,0.0,0.0
mHSC-L,mHSC-GM,6,27.0,0.0,12.0,27.0,6.0,18.0,mixed,0.0,0.0
mDC,mHSC-GM,6,20.0,11.0,24.0,2.0,10.0,23.0,scgpt_human,1.0,0.03333333333333333
hESC,mDC,6,25.0,7.0,29.0,4.0,13.0,12.0,scgpt_human,4.0,0.13333333333333333
hHep,mHSC-E,6,9.0,18.0,24.0,7.0,13.0,19.0,scgpt_human,5.0,0.16666666666666666
mDC,hESC,6,17.0,20.0,28.0,8.0,15.0,2.0,scgpt_human,8.0,0.26666666666666666
mHSC-L,mHSC-E,6,15.0,18.0,30.0,3.0,3.0,21.0,scgpt_human,9.0,0.3
hESC,mHSC-E,6,13.0,13.0,15.0,19.0,12.0,18.0,v4_bias_rec_best,1.0,0.03333333333333333
hHep,mDC,6,10.0,17.0,18.0,19.0,18.0,8.0,v4_bias_rec_best,1.0,0.03333333333333333
mHSC-E,hHep,6,15.0,14.0,20.0,21.0,7.0,13.0,v4_bias_rec_best,1.0,0.03333333333333333
mHSC-L,hHep,6,13.0,2.0,16.0,25.0,10.0,24.0,v4_bias_rec_best,1.0,0.03333333333333333
hESC,mHSC-L,6,17.0,5.0,14.0,20.0,16.0,18.0,v4_bias_rec_best,2.0,0.06666666666666667
hHep,mHSC-L,6,12.0,7.0,4.0,26.0,18.0,23.0,v4_bias_rec_best,3.0,0.1
mHSC-E,hESC,6,10.0,11.0,8.0,27.0,16.0,18.0,v4_bias_rec_best,9.0,0.3
hHep,mHSC-GM,6,18.0,6.0,10.0,30.0,6.0,20.0,v4_bias_rec_best,10.0,0.3333333333333333
mHSC-GM,mDC,6,16.0,4.0,13.0,16.0,22.0,19.0,v4_plain_best,3.0,0.1
hHep,hESC,6,16.0,21.0,5.0,6.0,20.0,22.0,v4_type_pe_best,1.0,0.03333333333333333
mDC,mHSC-L,6,20.0,12.0,20.0,5.0,12.0,21.0,v4_type_pe_best,1.0,0.03333333333333333
mHSC-GM,mHSC-L,6,3.0,18.0,21.0,18.0,6.0,24.0,v4_type_pe_best,3.0,0.1
hESC,mHSC-GM,6,16.0,16.0,12.0,6.0,16.0,24.0,v4_type_pe_best,8.0,0.26666666666666666
