train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,mHSC-E,4,14.0,9.0,13.0,0.0,4.0,baseline,1.0,0.0625
mDC,mHSC-GM,4,15.0,7.0,13.0,0.0,5.0,baseline,2.0,0.125
hESC,hHep,4,16.0,0.0,4.0,8.0,12.0,baseline,4.0,0.25
mHSC-E,mDC,4,15.0,0.0,4.0,11.0,10.0,baseline,4.0,0.25
mHSC-L,hESC,4,15.0,1.0,11.0,7.0,6.0,baseline,4.0,0.25
mDC,mHSC-L,4,16.0,4.0,10.0,0.0,10.0,baseline,6.0,0.375
mHSC-E,mHSC-GM,4,16.0,10.0,10.0,0.0,4.0,baseline,6.0,0.375
mHSC-L,mHSC-GM,4,15.0,0.0,8.0,9.0,8.0,baseline,6.0,0.375
mHSC-GM,mHSC-L,4,2.0,13.0,12.0,8.0,5.0,minus,1.0,0.0625
mHSC-E,mHSC-L,4,7.0,16.0,10.0,0.0,7.0,minus,6.0,0.375
hHep,hESC,4,7.0,16.0,9.0,2.0,6.0,minus,7.0,0.4375
hESC,mDC,4,14.0,0.0,14.0,5.0,7.0,mixed,0.0,0.0
hHep,mDC,4,12.0,0.0,4.0,12.0,12.0,mixed,0.0,0.0
hHep,mHSC-E,4,4.0,3.0,14.0,5.0,14.0,mixed,0.0,0.0
mDC,hESC,4,8.0,14.0,14.0,0.0,4.0,mixed,0.0,0.0
mDC,hHep,4,14.0,14.0,8.0,0.0,4.0,mixed,0.0,0.0
mHSC-GM,hHep,4,13.0,4.0,13.0,10.0,0.0,mixed,0.0,0.0
mHSC-L,mDC,4,14.0,4.0,14.0,0.0,8.0,mixed,0.0,0.0
hESC,mHSC-E,4,4.0,9.0,14.0,0.0,13.0,scgpt_human,1.0,0.0625
mDC,mHSC-E,4,8.0,11.0,15.0,6.0,0.0,scgpt_human,4.0,0.25
mHSC-L,mHSC-E,4,11.0,8.0,16.0,1.0,4.0,scgpt_human,5.0,0.3125
hESC,mHSC-L,4,3.0,9.0,16.0,10.0,2.0,scgpt_human,6.0,0.375
mHSC-L,hHep,4,10.0,0.0,16.0,8.0,6.0,scgpt_human,6.0,0.375
mHSC-GM,mDC,4,6.0,3.0,3.0,16.0,12.0,v4_bias_rec_best,4.0,0.25
hHep,mHSC-GM,4,7.0,4.0,10.0,16.0,3.0,v4_bias_rec_best,6.0,0.375
mHSC-E,hESC,4,0.0,8.0,6.0,16.0,10.0,v4_bias_rec_best,6.0,0.375
mHSC-E,hHep,4,8.0,7.0,8.0,16.0,1.0,v4_bias_rec_best,8.0,0.5
hESC,mHSC-GM,4,4.0,11.0,12.0,0.0,13.0,v4_plain_best,1.0,0.0625
mHSC-GM,hESC,4,12.0,0.0,8.0,5.0,15.0,v4_plain_best,3.0,0.1875
hHep,mHSC-L,4,1.0,9.0,4.0,10.0,16.0,v4_plain_best,6.0,0.375
