train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,v4_type_pe_best_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,mHSC-E,4,18.0,13.0,17.0,0.0,8.0,4.0,baseline,1.0,0.05
mHSC-E,mHSC-GM,4,20.0,14.0,14.0,2.0,8.0,2.0,baseline,6.0,0.3
mHSC-L,mHSC-GM,4,19.0,0.0,9.0,11.0,10.0,11.0,baseline,8.0,0.4
hHep,mHSC-E,4,9.0,19.0,14.0,0.0,14.0,4.0,minus,5.0,0.25
mHSC-GM,hHep,4,6.0,20.0,5.0,5.0,15.0,9.0,minus,5.0,0.25
mHSC-E,mHSC-L,4,10.0,20.0,14.0,1.0,11.0,4.0,minus,6.0,0.3
mHSC-E,hHep,4,2.5,20.0,12.0,10.0,6.5,9.0,minus,8.0,0.4
hESC,mHSC-E,4,13.0,15.0,10.0,15.0,4.0,3.0,mixed,0.0,0.0
hESC,mHSC-GM,4,10.0,5.0,7.0,2.0,18.0,18.0,mixed,0.0,0.0
hHep,mDC,4,0.0,16.0,16.0,4.0,14.0,10.0,mixed,0.0,0.0
mDC,mHSC-E,4,8.0,18.0,6.0,18.0,8.0,2.0,mixed,0.0,0.0
mHSC-GM,mHSC-L,4,2.0,15.0,15.0,10.0,5.0,13.0,mixed,0.0,0.0
mDC,mHSC-L,4,16.0,6.0,18.0,4.0,2.0,14.0,scgpt_human,2.0,0.1
mHSC-GM,hESC,4,10.0,13.0,18.0,0.0,15.0,4.0,scgpt_human,3.0,0.15
hESC,mDC,4,15.0,2.0,20.0,2.0,10.0,11.0,scgpt_human,5.0,0.25
mDC,hESC,4,12.0,14.0,19.0,4.0,11.0,0.0,scgpt_human,5.0,0.25
mDC,mHSC-GM,4,13.0,7.0,19.0,1.0,6.0,14.0,scgpt_human,5.0,0.25
mHSC-L,mDC,4,11.0,0.0,17.0,9.0,12.0,11.0,scgpt_human,5.0,0.25
mHSC-E,mDC,4,10.0,1.0,20.0,6.0,14.0,9.0,scgpt_human,6.0,0.3
mHSC-L,mHSC-E,4,13.0,10.0,20.0,1.0,5.0,11.0,scgpt_human,7.0,0.35
hHep,mHSC-GM,4,16.0,9.0,1.0,18.0,4.0,12.0,v4_bias_rec_best,2.0,0.1
hESC,mHSC-L,4,15.0,5.0,0.0,7.0,17.0,16.0,v4_plain_best,1.0,0.05
mDC,hHep,4,15.0,12.0,6.0,0.0,19.0,8.0,v4_plain_best,4.0,0.2
mHSC-L,hESC,4,6.0,14.0,9.0,1.0,20.0,10.0,v4_plain_best,6.0,0.3
hESC,hHep,4,11.0,1.0,3.0,9.0,17.0,19.0,v4_type_pe_best,2.0,0.1
hHep,mHSC-L,4,15.0,3.0,3.0,13.0,9.0,17.0,v4_type_pe_best,2.0,0.1
mHSC-E,hESC,4,12.0,5.0,0.0,11.0,15.0,17.0,v4_type_pe_best,2.0,0.1
mHSC-L,hHep,4,6.0,0.0,13.0,16.0,7.0,18.0,v4_type_pe_best,2.0,0.1
mHSC-GM,mDC,4,6.0,0.0,15.0,7.0,13.0,19.0,v4_type_pe_best,4.0,0.2
hHep,hESC,4,12.0,14.0,4.0,0.0,11.0,19.0,v4_type_pe_best,5.0,0.25
