train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,mHSC-E,12,42.0,27.0,39.0,0.0,12.0,baseline,3.0,0.0625
mHSC-L,hESC,12,32.0,15.0,20.0,24.0,29.0,baseline,3.0,0.0625
mDC,mHSC-L,12,37.0,26.0,31.0,6.0,20.0,baseline,6.0,0.125
mDC,hHep,12,41.0,31.0,22.0,1.0,25.0,baseline,10.0,0.20833333333333334
mHSC-E,mHSC-GM,12,48.0,30.0,30.0,0.0,12.0,baseline,18.0,0.375
mHSC-L,mHSC-GM,12,45.0,0.0,24.0,27.0,24.0,baseline,18.0,0.375
mHSC-GM,mHSC-L,12,6.0,39.0,36.0,24.0,15.0,minus,3.0,0.0625
mDC,mHSC-E,12,15.0,39.0,19.0,31.0,16.0,minus,8.0,0.16666666666666666
hHep,hESC,12,27.0,40.0,13.0,9.0,31.0,minus,9.0,0.1875
mHSC-E,mHSC-L,12,21.0,48.0,30.0,0.0,21.0,minus,18.0,0.375
mHSC-E,mDC,12,31.0,12.0,20.0,26.0,31.0,mixed,0.0,0.0
hHep,mHSC-E,12,13.0,32.0,34.0,16.0,25.0,scgpt_human,2.0,0.041666666666666664
hESC,mHSC-E,12,18.0,21.0,30.0,27.0,24.0,scgpt_human,3.0,0.0625
mDC,hESC,12,25.0,35.0,39.0,6.0,15.0,scgpt_human,4.0,0.08333333333333333
mDC,mHSC-GM,12,37.0,18.0,41.0,2.0,22.0,scgpt_human,4.0,0.08333333333333333
hESC,mDC,12,38.0,8.0,45.0,8.0,21.0,scgpt_human,7.0,0.14583333333333334
mHSC-GM,hHep,12,22.0,23.0,31.0,20.0,24.0,scgpt_human,7.0,0.14583333333333334
mHSC-L,mDC,12,29.0,4.0,41.0,13.0,33.0,scgpt_human,8.0,0.16666666666666666
mHSC-L,mHSC-E,12,33.0,24.0,48.0,3.0,12.0,scgpt_human,15.0,0.3125
hESC,mHSC-L,12,22.0,16.0,27.0,32.0,23.0,v4_bias_rec_best,5.0,0.10416666666666667
hHep,mHSC-L,12,20.0,20.0,11.0,37.0,32.0,v4_bias_rec_best,5.0,0.10416666666666667
mHSC-E,hHep,12,26.5,25.0,28.0,33.0,7.5,v4_bias_rec_best,5.0,0.10416666666666667
mHSC-L,hHep,12,30.0,3.0,31.0,36.0,20.0,v4_bias_rec_best,5.0,0.10416666666666667
mHSC-E,hESC,12,18.0,19.0,12.0,41.0,30.0,v4_bias_rec_best,11.0,0.22916666666666666
hHep,mHSC-GM,12,30.0,12.0,20.0,47.0,11.0,v4_bias_rec_best,17.0,0.3541666666666667
hESC,mHSC-GM,12,27.0,30.0,21.0,11.0,31.0,v4_plain_best,1.0,0.020833333333333332
mHSC-GM,hESC,12,34.0,19.0,25.0,7.0,35.0,v4_plain_best,1.0,0.020833333333333332
mHSC-GM,mDC,12,28.0,7.0,20.0,31.0,34.0,v4_plain_best,3.0,0.0625
hESC,hHep,12,35.0,10.0,7.0,25.0,43.0,v4_plain_best,8.0,0.16666666666666666
hHep,mDC,12,12.0,27.0,22.0,24.0,35.0,v4_plain_best,8.0,0.16666666666666666
