train_dataset,test_dataset,n_rows,embeddings_present,protocols_present,clfs_present,min_seeds,max_seeds,quality_flag,canonical_over_raw_ratio
hESC,hHep,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
hESC,mDC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
hESC,mHSC-E,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000351617440225
hESC,mHSC-GM,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000351617440225
hESC,mHSC-L,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000351617440225
hHep,hESC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
hHep,mDC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
hHep,mHSC-E,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000358037952023
hHep,mHSC-GM,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000358037952023
hHep,mHSC-L,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000358037952023
mDC,hESC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mDC,hHep,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mDC,mHSC-E,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mDC,mHSC-GM,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mDC,mHSC-L,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-E,hESC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000351617440225
mHSC-E,hHep,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000358037952023
mHSC-E,mDC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-E,mHSC-GM,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-E,mHSC-L,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-GM,hESC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000351617440225
mHSC-GM,hHep,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000358037952023
mHSC-GM,mDC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-GM,mHSC-E,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-GM,mHSC-L,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-L,hESC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000351617440225
mHSC-L,hHep,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.000358037952023
mHSC-L,mDC,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-L,mHSC-E,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
mHSC-L,mHSC-GM,30,baseline|minus|scgpt_human|v4_bias_rec_best|v4_plain_best,coverage_matched|native|strict,lr|mlp,5,5,,1.0
