train_dataset,test_dataset,protocol,embedding,clf,seed,n_common_genes,n_train_edges,n_test_edges,auroc,auprc
hESC,hHep,native,minus,lr,0,10811,4009,1223,0.581151,0.595360
hESC,hHep,native,minus,lr,1,10811,4009,1223,0.554290,0.561420
hESC,hHep,native,minus,lr,2,10811,4009,1223,0.554421,0.565811
hESC,hHep,native,minus,lr,3,10811,4009,1223,0.588417,0.587065
hESC,hHep,native,minus,lr,4,10811,4009,1223,0.564899,0.566304
hESC,hHep,native,minus,mlp,0,10811,4009,1223,0.606694,0.617196
hESC,hHep,native,minus,mlp,1,10811,4009,1223,0.595351,0.622700
hESC,hHep,native,minus,mlp,2,10811,4009,1223,0.609182,0.632937
hESC,hHep,native,minus,mlp,3,10811,4009,1223,0.592945,0.603720
hESC,hHep,native,minus,mlp,4,10811,4009,1223,0.602415,0.621358
hESC,hHep,native,baseline,lr,0,10811,4009,1223,0.637666,0.655617
hESC,hHep,native,baseline,lr,1,10811,4009,1223,0.655531,0.664412
hESC,hHep,native,baseline,lr,2,10811,4009,1223,0.655084,0.664943
hESC,hHep,native,baseline,lr,3,10811,4009,1223,0.669052,0.681479
hESC,hHep,native,baseline,lr,4,10811,4009,1223,0.656828,0.665118
hESC,hHep,native,baseline,mlp,0,10811,4009,1223,0.658680,0.664104
hESC,hHep,native,baseline,mlp,1,10811,4009,1223,0.678735,0.700218
hESC,hHep,native,baseline,mlp,2,10811,4009,1223,0.684445,0.687761
hESC,hHep,native,baseline,mlp,3,10811,4009,1223,0.688543,0.693266
hESC,hHep,native,baseline,mlp,4,10811,4009,1223,0.681321,0.678823
hESC,hHep,native,scGPT_human,lr,0,10811,4009,1223,0.635147,0.654741
hESC,hHep,native,scGPT_human,lr,1,10811,4009,1223,0.620178,0.637229
hESC,hHep,native,scGPT_human,lr,2,10811,4009,1223,0.623625,0.641751
hESC,hHep,native,scGPT_human,lr,3,10811,4009,1223,0.617244,0.640552
hESC,hHep,native,scGPT_human,lr,4,10811,4009,1223,0.633561,0.645066
hESC,hHep,native,scGPT_human,mlp,0,10811,4009,1223,0.619579,0.632086
hESC,hHep,native,scGPT_human,mlp,1,10811,4009,1223,0.637037,0.654093
hESC,hHep,native,scGPT_human,mlp,2,10811,4009,1223,0.628442,0.630843
hESC,hHep,native,scGPT_human,mlp,3,10811,4009,1223,0.651936,0.679134
hESC,hHep,native,scGPT_human,mlp,4,10811,4009,1223,0.648698,0.671068
hESC,hHep,strict,minus,lr,0,7801,2995,706,0.523116,0.507088
hESC,hHep,strict,minus,lr,1,7801,2995,706,0.497423,0.493811
hESC,hHep,strict,minus,lr,2,7801,2995,706,0.505706,0.491276
hESC,hHep,strict,minus,lr,3,7801,2995,706,0.508922,0.486560
hESC,hHep,strict,minus,lr,4,7801,2995,706,0.521073,0.509035
hESC,hHep,strict,minus,mlp,0,7801,2995,706,0.539159,0.544570
hESC,hHep,strict,minus,mlp,1,7801,2995,706,0.528797,0.551990
hESC,hHep,strict,minus,mlp,2,7801,2995,706,0.544933,0.564166
hESC,hHep,strict,minus,mlp,3,7801,2995,706,0.541579,0.546832
hESC,hHep,strict,minus,mlp,4,7801,2995,706,0.544768,0.564381
hESC,hHep,strict,baseline,lr,0,7801,2995,706,0.556834,0.574331
hESC,hHep,strict,baseline,lr,1,7801,2995,706,0.586291,0.600435
hESC,hHep,strict,baseline,lr,2,7801,2995,706,0.583733,0.600749
hESC,hHep,strict,baseline,lr,3,7801,2995,706,0.596761,0.616101
hESC,hHep,strict,baseline,lr,4,7801,2995,706,0.566275,0.579923
hESC,hHep,strict,baseline,mlp,0,7801,2995,706,0.577638,0.590876
hESC,hHep,strict,baseline,mlp,1,7801,2995,706,0.588478,0.606383
hESC,hHep,strict,baseline,mlp,2,7801,2995,706,0.605462,0.614512
hESC,hHep,strict,baseline,mlp,3,7801,2995,706,0.599141,0.610667
hESC,hHep,strict,baseline,mlp,4,7801,2995,706,0.612812,0.618066
hESC,hHep,strict,scGPT_human,lr,0,7801,2995,706,0.562825,0.577916
hESC,hHep,strict,scGPT_human,lr,1,7801,2995,706,0.564409,0.574867
hESC,hHep,strict,scGPT_human,lr,2,7801,2995,706,0.569283,0.574385
hESC,hHep,strict,scGPT_human,lr,3,7801,2995,706,0.567996,0.564492
hESC,hHep,strict,scGPT_human,lr,4,7801,2995,706,0.556030,0.544566
hESC,hHep,strict,scGPT_human,mlp,0,7801,2995,706,0.544273,0.542679
hESC,hHep,strict,scGPT_human,mlp,1,7801,2995,706,0.543670,0.551929
hESC,hHep,strict,scGPT_human,mlp,2,7801,2995,706,0.544530,0.543555
hESC,hHep,strict,scGPT_human,mlp,3,7801,2995,706,0.561603,0.556424
hESC,hHep,strict,scGPT_human,mlp,4,7801,2995,706,0.560911,0.565763
hESC,hHep,coverage_matched,minus,lr,0,8314,1745,583,0.668024,0.685712
hESC,hHep,coverage_matched,minus,lr,1,8314,1745,583,0.639767,0.647099
hESC,hHep,coverage_matched,minus,lr,2,8314,1745,583,0.655055,0.641188
hESC,hHep,coverage_matched,minus,lr,3,8314,1745,583,0.672885,0.677404
