train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
hESC,hHep,coverage_matched,baseline,lr,0.6531334,0.018391702537829402,0.6904546,0.016782583491226848,5
hESC,hHep,coverage_matched,baseline,mlp,0.6629658,0.00806198502603423,0.6814642,0.011891144728746684,5
hESC,hHep,coverage_matched,minus,lr,0.6569614,0.012144162722888707,0.6598548,0.018062893072816444,5
hESC,hHep,coverage_matched,minus,mlp,0.6876592,0.007551204364867908,0.7051862,0.006546925153077608,5
hESC,hHep,coverage_matched,scGPT_human,lr,0.6395834,0.008854663711287984,0.6376562,0.012820136744980542,5
hESC,hHep,coverage_matched,scGPT_human,mlp,0.6273842,0.014703313509546054,0.6235862,0.01851288094705953,5
hESC,hHep,native,baseline,lr,0.6548322,0.010014150755805515,0.6663138,0.00838249002146735,5
hESC,hHep,native,baseline,mlp,0.6783448,0.010362722661540239,0.6848344,0.012507585132230764,5
hESC,hHep,native,minus,lr,0.5686356,0.01392660974681202,0.575192,0.013449044888020846,5
hESC,hHep,native,minus,mlp,0.6013174,0.006287439816014133,0.6195822,0.009471305768477737,5
hESC,hHep,native,scGPT_human,lr,0.625951,0.007169772241849816,0.6438678,0.005986838878740599,5
hESC,hHep,native,scGPT_human,mlp,0.6371384,0.012137244342930564,0.6534448,0.01968741749849379,5
hESC,hHep,strict,baseline,lr,0.5779788,0.014415658325584701,0.5943078,0.015231350647923515,5
hESC,hHep,strict,baseline,mlp,0.5967062,0.012436145743758405,0.6081008,0.00945133483482625,5
hESC,hHep,strict,minus,lr,0.511248,0.009639862177438023,0.497554,0.008910688929594617,5
hESC,hHep,strict,minus,mlp,0.5398472,0.005927213591562248,0.5543878,0.008422659874410217,5
hESC,hHep,strict,scGPT_human,lr,0.5641086,0.004666646359003412,0.5672452,0.012205414985161304,5
hESC,hHep,strict,scGPT_human,mlp,0.5509974,0.008384435880844946,0.5520700000000001,0.008569382148089793,5
hESC,mDC,coverage_matched,baseline,lr,0.5279808,0.045384438198131295,0.5866250000000001,0.03433789623142338,5
hESC,mDC,coverage_matched,baseline,mlp,0.6189846,0.09412967897236238,0.6731454,0.07311006529500572,5
hESC,mDC,coverage_matched,minus,lr,0.4760708,0.046578028212452265,0.5845826000000001,0.036739959235687784,5
hESC,mDC,coverage_matched,minus,mlp,0.461892,0.02770047672513959,0.5683344,0.020332257401479033,5
hESC,mDC,coverage_matched,scGPT_human,lr,0.67616,0.03892856602547798,0.6705364,0.03563470429005969,5
hESC,mDC,coverage_matched,scGPT_human,mlp,0.6545696,0.05062430231657517,0.6697754,0.04831874803262188,5
hESC,mDC,native,baseline,lr,0.584424,0.01766671727288351,0.6405314,0.024780420324118774,5
hESC,mDC,native,baseline,mlp,0.5280452,0.03393058551454721,0.5905252,0.02875166463633018,5
hESC,mDC,native,minus,lr,0.2896224,0.02357851928005657,0.447338,0.008997332493578303,5
hESC,mDC,native,minus,mlp,0.2906642,0.014509804676838364,0.4467722,0.006092185729276481,5
hESC,mDC,native,scGPT_human,lr,0.5056404,0.05085480750764867,0.608267,0.047703533952947345,5
hESC,mDC,native,scGPT_human,mlp,0.5818276,0.011991482820735729,0.6449952,0.016747868227329724,5
hESC,mDC,strict,baseline,lr,0.6411948,0.03409188435625111,0.7168572,0.03158071548524511,5
hESC,mDC,strict,baseline,mlp,0.5206814,0.043915792852230275,0.6040352,0.0271513124868762,5
hESC,mDC,strict,minus,lr,0.4644876,0.05162017436080585,0.5772714,0.025887688785212182,5
hESC,mDC,strict,minus,mlp,0.40448860000000003,0.02811639257515089,0.538424,0.017477785900965836,5
hESC,mDC,strict,scGPT_human,lr,0.7127596,0.03283285249015077,0.756948,0.027742574098306022,5
hESC,mDC,strict,scGPT_human,mlp,0.594806,0.06772343299331479,0.6807092,0.05058060138590684,5
hESC,mHSC-E,coverage_matched,baseline,lr,0.4761934,0.061554546144375076,0.4131806,0.03874619989934496,5
hESC,mHSC-E,coverage_matched,baseline,mlp,0.4961938,0.09043070356997117,0.458453,0.08681215775454494,5
hESC,mHSC-E,coverage_matched,minus,lr,0.425171,0.032716468635841496,0.4221786,0.015827651178870465,5
hESC,mHSC-E,coverage_matched,minus,mlp,0.4404204,0.028245211138173493,0.431481,0.020612349337229857,5
hESC,mHSC-E,coverage_matched,scGPT_human,lr,0.5442656,0.022018529002637767,0.43632499999999996,0.01683486042710186,5
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,0.5448573999999999,0.03471334582894595,0.43635860000000004,0.02848272039395114,5
hESC,mHSC-E,native,baseline,lr,0.5359118,0.01589692817370702,0.5394388,0.012183899924080099,5
hESC,mHSC-E,native,baseline,mlp,0.5624764,0.011113461919671996,0.558144,0.00822745105120656,5
hESC,mHSC-E,native,minus,lr,0.566363,0.029003525627068174,0.5769362,0.021858607607988214,5
hESC,mHSC-E,native,minus,mlp,0.5867146,0.007500196893415529,0.5993642,0.007916286841695425,5
hESC,mHSC-E,native,scGPT_human,lr,0.6152029999999999,0.006515873540823206,0.6245958,0.0072938684221748856,5
hESC,mHSC-E,native,scGPT_human,mlp,0.5949592,0.021704337395092237,0.6016366000000001,0.022252288705659012,5
hESC,mHSC-E,strict,baseline,lr,0.5106088,0.010105685674905988,0.5907124,0.016384892304803233,5
hESC,mHSC-E,strict,baseline,mlp,0.47856940000000003,0.02418829604250783,0.541662,0.01884938640911156,5
hESC,mHSC-E,strict,minus,lr,0.5581446,0.026391109810691937,0.5780308,0.018376370886548844,5
hESC,mHSC-E,strict,minus,mlp,0.4898856,0.04573593294817543,0.5262974,0.02652834361659241,5
hESC,mHSC-E,strict,scGPT_human,lr,0.5272894,0.019848824182807385,0.5851988,0.015415345476504897,5
hESC,mHSC-E,strict,scGPT_human,mlp,0.4619272,0.03151984410113732,0.5204098,0.028885593138448785,5
hESC,mHSC-GM,coverage_matched,baseline,lr,0.8125332,0.005073628500392985,0.7490376,0.009721897296310024,5
hESC,mHSC-GM,coverage_matched,baseline,mlp,0.7896118,0.01998675921103772,0.7344432,0.02566954168192336,5
hESC,mHSC-GM,coverage_matched,minus,lr,0.7945512,0.016942150080789635,0.7869072,0.015644652292716547,5
hESC,mHSC-GM,coverage_matched,minus,mlp,0.7645738,0.03504415928168344,0.7500224,0.0465219110209372,5
hESC,mHSC-GM,coverage_matched,scGPT_human,lr,0.639706,0.028419110063476676,0.6151692,0.025530546945962587,5
hESC,mHSC-GM,coverage_matched,scGPT_human,mlp,0.6434724,0.020755160299067793,0.6191078,0.03094985960808223,5
hESC,mHSC-GM,native,baseline,lr,0.6938194,0.010724736352936595,0.6899526,0.009027681886287334,5
hESC,mHSC-GM,native,baseline,mlp,0.736017,0.008970845244457158,0.7147998,0.00928863049970232,5
