train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,winner,winner_margin,winner_margin_fraction
mDC,hHep,6,19.0,16.0,11.0,1.0,13.0,baseline,3.0,0.125
mDC,mHSC-L,6,20.0,14.0,15.0,1.0,10.0,baseline,5.0,0.20833333333333334
mHSC-E,mHSC-GM,6,24.0,18.0,12.0,0.0,6.0,baseline,6.0,0.25
mHSC-L,mHSC-GM,6,24.0,0.0,12.0,6.0,18.0,baseline,6.0,0.25
hHep,mHSC-E,6,6.0,16.0,14.0,9.0,15.0,minus,1.0,0.041666666666666664
mDC,mHSC-E,6,5.0,18.0,11.0,16.0,10.0,minus,2.0,0.08333333333333333
mHSC-GM,mHSC-L,6,3.0,21.0,18.0,9.0,9.0,minus,3.0,0.125
mDC,hESC,6,14.0,21.0,17.0,2.0,6.0,minus,4.0,0.16666666666666666
hHep,hESC,6,13.0,21.0,8.0,4.0,14.0,minus,7.0,0.2916666666666667
mHSC-E,mHSC-L,6,15.0,24.0,12.0,0.0,9.0,minus,9.0,0.375
mHSC-L,hHep,6,17.0,1.0,17.0,15.0,10.0,mixed,0.0,0.0
hESC,mHSC-L,6,9.0,11.0,15.0,14.0,11.0,scgpt_human,1.0,0.041666666666666664
mHSC-L,mDC,6,18.0,2.0,19.0,6.0,15.0,scgpt_human,1.0,0.041666666666666664
mDC,mHSC-GM,6,19.0,8.0,21.0,0.0,12.0,scgpt_human,2.0,0.08333333333333333
mHSC-GM,hHep,6,14.0,11.0,16.0,7.0,12.0,scgpt_human,2.0,0.08333333333333333
hESC,mDC,6,19.0,3.0,22.0,5.0,11.0,scgpt_human,3.0,0.125
hESC,mHSC-E,6,7.0,11.0,17.0,11.0,14.0,scgpt_human,3.0,0.125
mHSC-GM,mHSC-E,6,18.0,12.0,24.0,0.0,6.0,scgpt_human,6.0,0.25
mHSC-L,mHSC-E,6,18.0,9.0,24.0,0.0,9.0,scgpt_human,6.0,0.25
mHSC-E,hHep,6,14.5,13.0,13.0,17.0,2.5,v4_bias_rec_best,2.5,0.10416666666666667
mHSC-E,hESC,6,9.0,10.0,6.0,19.0,16.0,v4_bias_rec_best,3.0,0.125
mHSC-GM,mDC,6,14.0,4.0,9.0,18.0,15.0,v4_bias_rec_best,3.0,0.125
hHep,mHSC-GM,6,15.0,7.0,10.0,23.0,5.0,v4_bias_rec_best,8.0,0.3333333333333333
hESC,mHSC-GM,6,12.0,16.0,10.0,5.0,17.0,v4_plain_best,1.0,0.041666666666666664
mHSC-L,hESC,6,15.0,8.0,12.0,9.0,16.0,v4_plain_best,1.0,0.041666666666666664
hHep,mHSC-L,6,8.0,13.0,7.0,15.0,17.0,v4_plain_best,2.0,0.08333333333333333
hESC,hHep,6,18.0,4.0,4.0,13.0,21.0,v4_plain_best,3.0,0.125
mHSC-E,mDC,6,15.0,7.0,10.0,10.0,18.0,v4_plain_best,3.0,0.125
mHSC-GM,hESC,6,15.0,12.0,11.0,4.0,18.0,v4_plain_best,3.0,0.125
hHep,mDC,6,6.0,14.0,9.0,9.0,22.0,v4_plain_best,8.0,0.3333333333333333
