train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,winner,winner_margin,winner_margin_fraction
hESC,mHSC-GM,6,15.0,14.0,11.0,6.0,14.0,baseline,1.0,0.041666666666666664
mDC,mHSC-L,6,17.0,12.0,16.0,5.0,10.0,baseline,1.0,0.041666666666666664
mHSC-GM,hESC,6,19.0,7.0,14.0,3.0,17.0,baseline,2.0,0.08333333333333333
mHSC-L,hESC,6,17.0,7.0,8.0,15.0,13.0,baseline,2.0,0.08333333333333333
mHSC-E,mHSC-GM,6,24.0,12.0,18.0,0.0,6.0,baseline,6.0,0.25
mDC,hHep,6,22.0,15.0,11.0,0.0,12.0,baseline,7.0,0.2916666666666667
mHSC-GM,mHSC-E,6,24.0,15.0,15.0,0.0,6.0,baseline,9.0,0.375
hHep,hESC,6,14.0,19.0,5.0,5.0,17.0,minus,2.0,0.08333333333333333
mDC,mHSC-E,6,10.0,21.0,8.0,15.0,6.0,minus,6.0,0.25
mHSC-E,mHSC-L,6,6.0,24.0,18.0,0.0,12.0,minus,6.0,0.25
mHSC-E,mDC,6,16.0,5.0,10.0,16.0,13.0,mixed,0.0,0.0
mHSC-GM,mHSC-L,6,3.0,18.0,18.0,15.0,6.0,mixed,0.0,0.0
mHSC-L,mHSC-GM,6,21.0,0.0,12.0,21.0,6.0,mixed,0.0,0.0
mDC,mHSC-GM,6,18.0,10.0,20.0,2.0,10.0,scgpt_human,2.0,0.08333333333333333
mHSC-GM,hHep,6,8.0,12.0,15.0,13.0,12.0,scgpt_human,2.0,0.08333333333333333
hESC,mDC,6,19.0,5.0,23.0,3.0,10.0,scgpt_human,4.0,0.16666666666666666
hHep,mHSC-E,6,7.0,16.0,20.0,7.0,10.0,scgpt_human,4.0,0.16666666666666666
mHSC-L,mDC,6,11.0,2.0,22.0,7.0,18.0,scgpt_human,4.0,0.16666666666666666
mDC,hESC,6,11.0,14.0,22.0,4.0,9.0,scgpt_human,8.0,0.3333333333333333
mHSC-L,mHSC-E,6,15.0,15.0,24.0,3.0,3.0,scgpt_human,9.0,0.375
mHSC-E,hHep,6,12.0,12.0,15.0,16.0,5.0,v4_bias_rec_best,1.0,0.041666666666666664
hHep,mDC,6,6.0,13.0,13.0,15.0,13.0,v4_bias_rec_best,2.0,0.08333333333333333
hESC,mHSC-E,6,11.0,10.0,13.0,16.0,10.0,v4_bias_rec_best,3.0,0.125
hESC,mHSC-L,6,13.0,5.0,12.0,18.0,12.0,v4_bias_rec_best,5.0,0.20833333333333334
hHep,mHSC-L,6,12.0,7.0,4.0,22.0,15.0,v4_bias_rec_best,7.0,0.2916666666666667
mHSC-L,hHep,6,13.0,2.0,14.0,21.0,10.0,v4_bias_rec_best,7.0,0.2916666666666667
mHSC-E,hESC,6,9.0,9.0,6.0,22.0,14.0,v4_bias_rec_best,8.0,0.3333333333333333
hHep,mHSC-GM,6,15.0,5.0,10.0,24.0,6.0,v4_bias_rec_best,9.0,0.375
hESC,hHep,6,17.0,6.0,3.0,12.0,22.0,v4_plain_best,5.0,0.20833333333333334
mHSC-GM,mDC,6,14.0,3.0,11.0,13.0,19.0,v4_plain_best,5.0,0.20833333333333334
