train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,mHSC-E,4,14.0,9.0,13.0,0.0,4.0,baseline,1.0,0.0625
mHSC-E,hHep,4,16.0,2.0,11.0,9.0,2.0,baseline,5.0,0.3125
mDC,hHep,4,16.0,7.0,10.0,1.0,6.0,baseline,6.0,0.375
mHSC-E,mHSC-GM,4,16.0,10.0,10.0,0.0,4.0,baseline,6.0,0.375
mHSC-GM,hESC,4,16.0,10.0,3.0,2.0,9.0,baseline,6.0,0.375
mHSC-L,mHSC-GM,4,15.0,0.0,8.0,9.0,8.0,baseline,6.0,0.375
mHSC-GM,mDC,4,16.0,4.0,3.0,8.0,9.0,baseline,7.0,0.4375
hESC,mHSC-GM,4,13.0,14.0,2.0,9.0,2.0,minus,1.0,0.0625
mDC,hESC,4,9.0,11.0,10.0,6.0,4.0,minus,1.0,0.0625
mHSC-GM,mHSC-L,4,2.0,13.0,12.0,8.0,5.0,minus,1.0,0.0625
hHep,mDC,4,0.0,14.0,6.0,8.0,12.0,minus,2.0,0.125
hHep,mHSC-E,4,4.0,14.0,10.0,11.0,1.0,minus,3.0,0.1875
mDC,mHSC-E,4,3.0,14.0,1.0,11.0,11.0,minus,3.0,0.1875
mHSC-E,mHSC-L,4,7.0,16.0,10.0,0.0,7.0,minus,6.0,0.375
mDC,mHSC-L,4,7.0,16.0,7.0,2.0,8.0,minus,8.0,0.5
mHSC-E,mDC,4,8.0,11.0,0.0,11.0,10.0,mixed,0.0,0.0
mHSC-L,hHep,4,14.0,3.0,2.0,14.0,7.0,mixed,0.0,0.0
mDC,mHSC-GM,4,11.0,4.0,13.0,1.0,11.0,scgpt_human,2.0,0.125
mHSC-GM,hHep,4,5.0,3.0,14.0,6.0,12.0,scgpt_human,2.0,0.125
hESC,mDC,4,12.0,6.0,15.0,1.0,6.0,scgpt_human,3.0,0.1875
mHSC-L,mHSC-E,4,11.0,8.0,16.0,1.0,4.0,scgpt_human,5.0,0.3125
hESC,mHSC-L,4,6.0,2.0,11.0,15.0,6.0,v4_bias_rec_best,4.0,0.25
mHSC-L,hESC,4,12.0,3.0,2.0,16.0,7.0,v4_bias_rec_best,4.0,0.25
hHep,mHSC-GM,4,11.0,0.0,9.0,16.0,4.0,v4_bias_rec_best,5.0,0.3125
hESC,mHSC-E,4,5.0,1.0,9.0,16.0,9.0,v4_bias_rec_best,7.0,0.4375
hHep,mHSC-L,4,5.0,8.0,4.0,16.0,7.0,v4_bias_rec_best,8.0,0.5
mHSC-E,hESC,4,6.0,6.0,6.0,15.0,7.0,v4_bias_rec_best,8.0,0.5
mHSC-L,mDC,4,6.0,0.0,13.0,6.0,15.0,v4_plain_best,2.0,0.125
hHep,hESC,4,9.0,10.0,0.0,7.0,14.0,v4_plain_best,4.0,0.25
hESC,hHep,4,8.0,9.0,0.0,8.0,15.0,v4_plain_best,6.0,0.375
