train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,mHSC-E,4,6.0,1.0,5.0,baseline,1.0,0.125
mDC,mHSC-GM,4,7.0,0.0,5.0,baseline,2.0,0.25
mHSC-GM,hESC,4,7.0,0.0,5.0,baseline,2.0,0.25
mHSC-L,hESC,4,7.0,0.0,5.0,baseline,2.0,0.25
mHSC-GM,mDC,4,6.0,3.0,3.0,baseline,3.0,0.375
hESC,hHep,4,8.0,0.0,4.0,baseline,4.0,0.5
hHep,mDC,4,8.0,0.0,4.0,baseline,4.0,0.5
mDC,mHSC-L,4,8.0,0.0,4.0,baseline,4.0,0.5
mHSC-E,mDC,4,8.0,0.0,4.0,baseline,4.0,0.5
mHSC-L,mHSC-GM,4,8.0,0.0,4.0,baseline,4.0,0.5
mHSC-E,mHSC-GM,4,8.0,2.0,2.0,baseline,6.0,0.75
hHep,hESC,4,1.0,8.0,3.0,minus,5.0,0.625
hHep,mHSC-L,4,1.0,8.0,3.0,minus,5.0,0.625
mHSC-E,mHSC-L,4,1.0,8.0,3.0,minus,5.0,0.625
hESC,mDC,4,6.0,0.0,6.0,mixed,0.0,0.0
hESC,mHSC-GM,4,0.0,6.0,6.0,mixed,0.0,0.0
mDC,hESC,4,0.0,6.0,6.0,mixed,0.0,0.0
mDC,hHep,4,6.0,6.0,0.0,mixed,0.0,0.0
mHSC-E,hESC,4,0.0,6.0,6.0,mixed,0.0,0.0
mHSC-GM,hHep,4,6.0,0.0,6.0,mixed,0.0,0.0
mHSC-GM,mHSC-L,4,0.0,6.0,6.0,mixed,0.0,0.0
mHSC-L,mDC,4,6.0,0.0,6.0,mixed,0.0,0.0
mHSC-E,hHep,4,4.0,3.0,5.0,scgpt_human,1.0,0.125
mDC,mHSC-E,4,1.0,4.0,7.0,scgpt_human,3.0,0.375
hESC,mHSC-E,4,0.0,4.0,8.0,scgpt_human,4.0,0.5
hHep,mHSC-GM,4,3.0,2.0,7.0,scgpt_human,4.0,0.5
mHSC-L,hHep,4,4.0,0.0,8.0,scgpt_human,4.0,0.5
hESC,mHSC-L,4,1.0,3.0,8.0,scgpt_human,5.0,0.625
mHSC-L,mHSC-E,4,3.0,1.0,8.0,scgpt_human,5.0,0.625
hHep,mHSC-E,4,2.0,2.0,8.0,scgpt_human,6.0,0.75
