train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,winner,winner_margin,winner_margin_fraction
mHSC-E,mHSC-GM,2,8.0,6.0,4.0,0.0,2.0,baseline,2.0,0.25
mHSC-L,mHSC-GM,2,8.0,0.0,4.0,2.0,6.0,baseline,2.0,0.25
hHep,mHSC-L,2,8.0,3.0,1.0,3.0,5.0,baseline,3.0,0.375
hESC,mHSC-E,2,4.0,6.0,5.0,3.0,2.0,minus,1.0,0.125
mHSC-GM,mHSC-L,2,1.0,7.0,6.0,3.0,3.0,minus,1.0,0.125
hHep,hESC,2,4.0,8.0,2.0,0.0,6.0,minus,2.0,0.25
hHep,mDC,2,0.0,8.0,4.0,2.0,6.0,minus,2.0,0.25
hHep,mHSC-E,2,3.0,8.0,3.0,0.0,6.0,minus,2.0,0.25
mHSC-GM,hHep,2,4.0,8.0,2.0,0.0,6.0,minus,2.0,0.25
mHSC-E,hHep,2,2.5,8.0,5.0,4.0,0.5,minus,3.0,0.375
mHSC-E,mHSC-L,2,5.0,8.0,4.0,0.0,3.0,minus,3.0,0.375
hHep,mHSC-GM,2,7.0,3.0,0.0,7.0,3.0,mixed,0.0,0.0
mDC,mHSC-GM,2,7.0,2.0,7.0,0.0,4.0,mixed,0.0,0.0
mDC,mHSC-L,2,7.0,4.0,7.0,1.0,1.0,mixed,0.0,0.0
mHSC-GM,hESC,2,2.0,6.0,6.0,0.0,6.0,mixed,0.0,0.0
mHSC-L,mDC,2,7.0,0.0,7.0,3.0,3.0,mixed,0.0,0.0
mDC,hESC,2,5.0,6.0,7.0,0.0,2.0,scgpt_human,1.0,0.125
hESC,mDC,2,6.0,0.0,8.0,2.0,4.0,scgpt_human,2.0,0.25
mHSC-GM,mHSC-E,2,6.0,4.0,8.0,0.0,2.0,scgpt_human,2.0,0.25
mHSC-L,hHep,2,4.0,0.0,8.0,6.0,2.0,scgpt_human,2.0,0.25
mHSC-L,mHSC-E,2,6.0,3.0,8.0,0.0,3.0,scgpt_human,2.0,0.25
mHSC-E,mDC,2,5.0,1.0,8.0,1.0,5.0,scgpt_human,3.0,0.375
mHSC-GM,mDC,2,2.0,0.0,8.0,5.0,5.0,scgpt_human,3.0,0.375
mDC,mHSC-E,2,0.0,6.0,2.0,8.0,4.0,v4_bias_rec_best,2.0,0.25
hESC,mHSC-GM,2,4.0,2.0,6.0,0.0,8.0,v4_plain_best,2.0,0.25
hESC,mHSC-L,2,6.0,3.0,0.0,3.0,8.0,v4_plain_best,2.0,0.25
mDC,hHep,2,4.0,6.0,2.0,0.0,8.0,v4_plain_best,2.0,0.25
hESC,hHep,2,5.0,0.0,2.0,5.0,8.0,v4_plain_best,3.0,0.375
mHSC-E,hESC,2,5.0,3.0,0.0,4.0,8.0,v4_plain_best,3.0,0.375
mHSC-L,hESC,2,2.0,5.0,5.0,0.0,8.0,v4_plain_best,3.0,0.375
