train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,winner,winner_margin,winner_margin_fraction
mHSC-GM,hESC,12,16.0,7.0,13.0,baseline,3.0,0.125
mHSC-GM,mHSC-E,12,18.0,3.0,15.0,baseline,3.0,0.125
mDC,mHSC-L,12,16.0,8.0,12.0,baseline,4.0,0.16666666666666666
hHep,mHSC-GM,12,17.0,7.0,12.0,baseline,5.0,0.20833333333333334
mHSC-E,mDC,12,17.0,7.0,12.0,baseline,5.0,0.20833333333333334
mDC,hHep,12,20.0,14.0,2.0,baseline,6.0,0.25
mHSC-GM,mDC,12,18.0,6.0,12.0,baseline,6.0,0.25
mHSC-L,hESC,12,16.0,10.0,10.0,baseline,6.0,0.25
mHSC-L,mHSC-GM,12,24.0,0.0,12.0,baseline,12.0,0.5
hESC,hHep,12,21.0,8.0,7.0,baseline,13.0,0.5416666666666666
mHSC-E,mHSC-GM,12,24.0,6.0,6.0,baseline,18.0,0.75
hHep,mHSC-E,12,3.0,17.0,16.0,minus,1.0,0.041666666666666664
hESC,mHSC-GM,12,12.0,14.0,10.0,minus,2.0,0.08333333333333333
mHSC-E,hESC,12,12.0,14.0,10.0,minus,2.0,0.08333333333333333
hHep,mHSC-L,12,13.0,16.0,7.0,minus,3.0,0.125
hHep,hESC,12,12.0,21.0,3.0,minus,9.0,0.375
mDC,mHSC-E,12,6.0,20.0,10.0,minus,10.0,0.4166666666666667
mHSC-E,mHSC-L,12,3.0,24.0,9.0,minus,15.0,0.625
hHep,mDC,12,8.0,14.0,14.0,mixed,0.0,0.0
mHSC-GM,mHSC-L,12,0.0,18.0,18.0,mixed,0.0,0.0
mHSC-E,hHep,12,12.0,11.0,13.0,scgpt_human,1.0,0.041666666666666664
hESC,mHSC-L,12,13.0,8.0,15.0,scgpt_human,2.0,0.08333333333333333
mDC,mHSC-GM,12,16.0,2.0,18.0,scgpt_human,2.0,0.08333333333333333
mHSC-L,hHep,12,16.0,2.0,18.0,scgpt_human,2.0,0.08333333333333333
mDC,hESC,12,6.0,13.0,17.0,scgpt_human,4.0,0.16666666666666666
mHSC-GM,hHep,12,11.0,9.0,16.0,scgpt_human,5.0,0.20833333333333334
hESC,mDC,12,15.0,0.0,21.0,scgpt_human,6.0,0.25
mHSC-L,mDC,12,15.0,0.0,21.0,scgpt_human,6.0,0.25
hESC,mHSC-E,12,9.0,10.0,17.0,scgpt_human,7.0,0.2916666666666667
mHSC-L,mHSC-E,12,9.0,3.0,24.0,scgpt_human,15.0,0.625
